="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="year=2015 # karadeniz",="0.054",="0.173",="-0.002",="-17053.057*",="0.057",="-0.000",="-11.708"
="",="(0.12)",="(0.21)",="(0.01)",="(8610.36)",="(1.17)",="(0.00)",="(6.30)"
="year=2015 # marmara",="-0.064",="0.425",="-0.001",="-3432.803",="-0.014",="-0.001",="-7.917"
="",="(0.13)",="(0.23)",="(0.01)",="(9373.44)",="(1.27)",="(0.00)",="(6.87)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2016 # dogu",="0.039",="-0.026",="-0.017",="-20502.437*",="1.989",="0.001",="-7.593"
="",="(0.13)",="(0.22)",="(0.01)",="(8849.72)",="(1.20)",="(0.00)",="(6.49)"
="year=2016 # ege",="0.001",="-0.095",="-0.011",="-9256.437",="0.477",="-0.000",="-5.680"
="",="(0.14)",="(0.25)",="(0.01)",="(10047.32)",="(1.37)",="(0.00)",="(7.36)"
="year=2016 # guneydogu",="-0.072",="0.055",="-0.007",="-15900.672",="1.049",="0.002",="4.304"
="",="(0.14)",="(0.25)",="(0.01)",="(10175.89)",="(1.38)",="(0.00)",="(7.47)"
="year=2016 # icanadolu",="-0.082",="-0.142",="-0.004",="-13887.674",="1.350",="0.000",="-1.026"
="",="(0.13)",="(0.22)",="(0.01)",="(9045.13)",="(1.23)",="(0.00)",="(6.63)"
="year=2016 # karadeniz",="0.051",="0.067",="-0.008",="-17460.585*",="0.594",="0.000",="-6.132"
="",="(0.12)",="(0.21)",="(0.01)",="(8591.00)",="(1.17)",="(0.00)",="(6.29)"
="year=2016 # marmara",="-0.111",="0.329",="-0.005",="-8137.142",="0.951",="-0.000",="-1.501"
="",="(0.13)",="(0.23)",="(0.01)",="(9352.73)",="(1.27)",="(0.00)",="(6.86)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.065",="0.206",="-0.005",="-10726.702",="1.008",="-0.000",="-13.649*"
="",="(0.13)",="(0.22)",="(0.01)",="(8875.91)",="(1.21)",="(0.00)",="(6.51)"
="year=2017 # ege",="0.006",="-0.086",="-0.006",="-7340.043",="0.217",="-0.001",="-9.853"
="",="(0.14)",="(0.25)",="(0.01)",="(10050.43)",="(1.37)",="(0.00)",="(7.37)"
="year=2017 # guneydogu",="-0.059",="0.083",="-0.008",="-14110.952",="0.187",="0.001",="-5.776"
="",="(0.15)",="(0.25)",="(0.01)",="(10207.98)",="(1.39)",="(0.00)",="(7.49)"
="year=2017 # icanadolu",="-0.068",="-0.086",="-0.002",="-8872.937",="0.919",="-0.001",="-7.153"
="",="(0.13)",="(0.22)",="(0.01)",="(9062.75)",="(1.23)",="(0.00)",="(6.64)"
="year=2017 # karadeniz",="0.028",="0.106",="-0.003",="-9028.102",="-0.375",="-0.001",="-10.277"
="",="(0.12)",="(0.21)",="(0.01)",="(8620.14)",="(1.17)",="(0.00)",="(6.30)"
="year=2017 # marmara",="-0.107",="0.392",="0.001",="-6767.641",="0.463",="-0.001",="-1.362"
="",="(0.13)",="(0.23)",="(0.01)",="(9364.31)",="(1.27)",="(0.00)",="(6.86)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.148",="0.297",="-0.002",="-7739.706",="1.134",="-0.000",="-11.712"
="",="(0.13)",="(0.22)",="(0.01)",="(8968.98)",="(1.22)",="(0.00)",="(6.58)"
="year=2018 # ege",="0.026",="-0.033",="-0.006",="-10266.426",="-0.597",="-0.001",="-11.340"
="",="(0.14)",="(0.25)",="(0.01)",="(10049.75)",="(1.37)",="(0.00)",="(7.37)"
="year=2018 # guneydogu",="-0.031",="0.159",="-0.001",="-12843.094",="0.109",="0.001",="-2.388"
="",="(0.15)",="(0.25)",="(0.01)",="(10242.37)",="(1.39)",="(0.00)",="(7.52)"
="year=2018 # icanadolu",="-0.019",="0.004",="0.002",="-7242.809",="1.189",="-0.000",="-5.743"
="",="(0.13)",="(0.22)",="(0.01)",="(9097.47)",="(1.24)",="(0.00)",="(6.66)"
="year=2018 # karadeniz",="0.070",="0.276",="0.005",="-4640.953",="-0.171",="-0.000",="-5.877"
="",="(0.12)",="(0.21)",="(0.01)",="(8676.46)",="(1.18)",="(0.00)",="(6.34)"
="year=2018 # marmara",="-0.108",="0.366",="0.001",="-7819.015",="-0.223",="-0.001",="-2.730"
="",="(0.13)",="(0.23)",="(0.01)",="(9356.42)",="(1.27)",="(0.00)",="(6.86)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.114",="0.142",="-0.008",="-14502.580",="1.003",="-0.001",="-12.002"
="",="(0.13)",="(0.22)",="(0.01)",="(8930.76)",="(1.21)",="(0.00)",="(6.55)"
="year=2019 # ege",="-0.005",="-0.177",="-0.011",="-10995.071",="0.225",="-0.001",="-6.347"
="",="(0.14)",="(0.25)",="(0.01)",="(10052.26)",="(1.37)",="(0.00)",="(7.37)"
="year=2019 # guneydogu",="-0.016",="0.032",="-0.004",="-16159.402",="0.302",="0.000",="-4.692"
="",="(0.15)",="(0.25)",="(0.01)",="(10342.95)",="(1.41)",="(0.00)",="(7.59)"
="year=2019 # icanadolu",="-0.020",="-0.135",="-0.006",="-12587.728",="1.824",="-0.000",="-2.349"
="",="(0.13)",="(0.22)",="(0.01)",="(9105.70)",="(1.24)",="(0.00)",="(6.67)"
="year=2019 # karadeniz",="0.035",="0.129",="-0.002",="-10542.920",="0.600",="-0.000",="-6.177"
="",="(0.12)",="(0.21)",="(0.01)",="(8648.67)",="(1.18)",="(0.00)",="(6.33)"
="year=2019 # marmara",="-0.056",="0.352",="0.001",="-8460.044",="0.502",="-0.001",="0.651"
="",="(0.13)",="(0.23)",="(0.01)",="(9399.00)",="(1.28)",="(0.00)",="(6.89)"
="constant",="7.857***",="1.188***",="0.036***",="-13109.966*",="3.860***",="0.001",="-12.955***"
="",="(0.07)",="(0.13)",="(0.01)",="(5217.86)",="(0.71)",="(0.00)",="(3.86)"
="R-sqr",="0.894",="0.717",="0.701",="0.982",="0.198",="0.269",="0.922"
="dfres",="1400",="1326",="1326",="1326",="1326",="1398",="1398"
="BIC",="314.3",="1878.5",="-7219.0",="32841.4",="6877.7",="-14377.7",="12437.5"
="* p<0.05, ** p<0.01, *** p<0.001"
