="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="(0.10)",="(0.17)",="(0.01)",="(7133.97)",="(0.97)",="(0.00)",="(5.24)"
="icanadolu",="0.164",="0.268",="0.010",="5044.780",="-1.429",="-0.000",="1.028"
="",="(0.09)",="(0.16)",="(0.01)",="(6392.63)",="(0.87)",="(0.00)",="(4.68)"
="karadeniz",="0.021",="-0.269",="-0.011",="1295.065",="-0.626",="-0.000",="2.442"
="",="(0.09)",="(0.15)",="(0.01)",="(6045.18)",="(0.82)",="(0.00)",="(4.43)"
="marmara",="0.466***",="-0.242",="-0.005",="-8700.223",="-0.667",="-0.000",="-6.842"
="",="(0.09)",="(0.16)",="(0.01)",="(6611.54)",="(0.90)",="(0.00)",="(4.85)"
="year=2001 # akdeniz",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2001 # dogu",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2001 # ege",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2001 # guneydogu",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2001 # icanadolu",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2001 # karadeniz",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2001 # marmara",="0.000",="",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="",="(.)",="(.)"
="year=2002 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.011",="0.000",="0.000",="0.000",="0.000",="-0.001",="-9.818"
="",="(0.12)",="(.)",="(.)",="(.)",="(.)",="(0.00)",="(6.45)"
="year=2002 # ege",="0.020",="0.000",="0.000",="0.000",="0.000",="-0.000",="5.995"
="",="(0.14)",="(.)",="(.)",="(.)",="(.)",="(0.00)",="(7.36)"
="year=2002 # guneydogu",="-0.065",="0.000",="0.000",="0.000",="0.000",="0.000",="-1.446"
="",="(0.14)",="(.)",="(.)",="(.)",="(.)",="(0.00)",="(7.36)"
="year=2002 # icanadolu",="0.034",="0.000",="0.000",="0.000",="0.000",="-0.001",="-0.685"
="",="(0.13)",="(.)",="(.)",="(.)",="(.)",="(0.00)",="(6.62)"
="year=2002 # karadeniz",="0.013",="0.000",="0.000",="0.000",="0.000",="-0.000",="-5.241"
="",="(0.12)",="(.)",="(.)",="(.)",="(.)",="(0.00)",="(6.26)"
="year=2002 # marmara",="0.020",="0.000",="0.000",="0.000",="0.000",="-0.000",="9.735"
="",="(0.13)",="(.)",="(.)",="(.)",="(.)",="(0.00)",="(6.84)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
