="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2018 # ege",="0.008",="-0.003",="-0.001",="-0.001",="-0.006",="-0.006"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2018 # guneydogu",="-0.017",="-0.070",="0.001",="0.000",="-0.002",="-0.003"
="",="(0.15)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2018 # icanadolu",="-0.053",="-0.088",="-0.000",="-0.001",="0.001",="0.001"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2018 # karadeniz",="0.047",="0.027",="-0.000",="-0.001",="0.003",="0.004"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2018 # marmara",="-0.154",="-0.227",="-0.001",="-0.002",="0.000",="0.001"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.086",="0.060",="-0.001",="-0.001",="-0.010",="-0.010"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2019 # ege",="-0.035",="-0.045",="-0.001",="-0.001",="-0.012",="-0.012"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2019 # guneydogu",="0.018",="-0.039",="0.001",="0.000",="-0.005",="-0.006"
="",="(0.15)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2019 # icanadolu",="-0.050",="-0.087",="-0.000",="-0.000",="-0.006",="-0.006"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2019 # karadeniz",="0.005",="-0.015",="-0.000",="-0.001",="-0.004",="-0.003"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2019 # marmara",="-0.083",="-0.160",="-0.001",="-0.001",="0.001",="0.000"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="cat_cpk16_p90=0",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)"
="cat_cpk16_p90=1",="",="0.166***",="",="0.001***",="",="0.007***"
="",="",="(0.02)",="",="(0.00)",="",="(0.00)"
="period16=0 # cat_cpk16_p90=0",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)"
="period16=0 # cat_cpk16_p90=1",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)"
="period16=1 # cat_cpk16_p90=0",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)"
="period16=1 # cat_cpk16_p90=1",="",="-0.250***",="",="-0.001",="",="-0.001"
="",="",="(0.05)",="",="(0.00)",="",="(0.00)"
="constant",="7.840***",="7.821***",="0.001",="0.001",="0.034***",="0.031***"
="",="(0.07)",="(0.07)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="R-sqr",="0.894",="0.897",="0.269",="0.272",="0.699",="0.702"
="dfres",="1400",="1400",="1398",="1398",="1326",="1326"
="BIC",="313.3",="275.8",="-14377.2",="-14383.2",="-7209.8",="-7226.5"
="* p<0.05, ** p<0.01, *** p<0.001"
