="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(0.09)",="(0.09)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2001 # akdeniz",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2001 # dogu",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2001 # ege",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2001 # guneydogu",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2001 # icanadolu",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2001 # karadeniz",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2001 # marmara",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="",=""
="year=2002 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.006",="-0.008",="-0.001",="-0.001",="0.000",="0.000"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(.)",="(.)"
="year=2002 # ege",="0.016",="0.016",="-0.000",="-0.000",="0.000",="0.000"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(.)",="(.)"
="year=2002 # guneydogu",="-0.057",="-0.058",="0.000",="0.000",="0.000",="0.000"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(.)",="(.)"
="year=2002 # icanadolu",="0.033",="0.032",="-0.001",="-0.001",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(.)",="(.)"
="year=2002 # karadeniz",="0.015",="0.013",="-0.000",="-0.000",="0.000",="0.000"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(.)",="(.)"
="year=2002 # marmara",="0.014",="0.014",="-0.000",="-0.000",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(.)",="(.)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.031",="-0.031",="-0.000",="-0.000",="-0.000",="-0.000"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2003 # ege",="-0.007",="-0.005",="0.001",="0.001",="0.002",="0.002"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2003 # guneydogu",="-0.082",="-0.083",="-0.000",="-0.000",="0.001",="0.001"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2003 # icanadolu",="-0.001",="-0.001",="-0.001",="-0.001",="0.002",="0.002"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2003 # karadeniz",="-0.007",="-0.008",="-0.001",="-0.001",="0.004",="0.004"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2003 # marmara",="-0.004",="-0.004",="-0.001",="-0.001",="-0.001",="-0.001"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
