="",="(1)",="(2)",="(3)",="(4)"
="",="(.)",="(.)",="",=""
="year=2002 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.008",="-0.001",="0.000",="0.000"
="",="(0.12)",="(0.00)",="(.)",="(.)"
="year=2002 # ege",="0.016",="-0.000",="0.000",="0.000"
="",="(0.14)",="(0.00)",="(.)",="(.)"
="year=2002 # guneydogu",="-0.059",="0.000",="0.000",="0.000"
="",="(0.14)",="(0.00)",="(.)",="(.)"
="year=2002 # icanadolu",="0.032",="-0.001",="0.000",="0.000"
="",="(0.13)",="(0.00)",="(.)",="(.)"
="year=2002 # karadeniz",="0.013",="-0.000",="0.000",="0.000"
="",="(0.12)",="(0.00)",="(.)",="(.)"
="year=2002 # marmara",="0.015",="-0.000",="0.000",="0.000"
="",="(0.13)",="(0.00)",="(.)",="(.)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.032",="-0.000",="-0.000",="-1716.289"
="",="(0.12)",="(0.00)",="(0.01)",="(8589.54)"
="year=2003 # ege",="-0.006",="0.001",="0.002",="-1240.215"
="",="(0.14)",="(0.00)",="(0.01)",="(9811.03)"
="year=2003 # guneydogu",="-0.083",="-0.000",="0.001",="-214.783"
="",="(0.14)",="(0.00)",="(0.01)",="(9809.96)"
="year=2003 # icanadolu",="-0.001",="-0.001",="0.002",="-1408.986"
="",="(0.13)",="(0.00)",="(0.01)",="(8816.93)"
="year=2003 # karadeniz",="-0.008",="-0.001",="0.004",="-152.272"
="",="(0.12)",="(0.00)",="(0.01)",="(8338.30)"
="year=2003 # marmara",="-0.003",="-0.001",="-0.001",="209.359"
="",="(0.13)",="(0.00)",="(0.01)",="(9116.60)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.059",="-0.000",="0.001",="-1733.239"
="",="(0.12)",="(0.00)",="(0.01)",="(8590.57)"
="year=2004 # ege",="0.023",="0.003*",="0.003",="-659.310"
="",="(0.14)",="(0.00)",="(0.01)",="(9816.51)"
="year=2004 # guneydogu",="-0.006",="0.001",="-0.003",="-1098.435"
="",="(0.14)",="(0.00)",="(0.01)",="(9810.46)"
="year=2004 # icanadolu",="0.056",="-0.000",="-0.004",="-5364.799"
="",="(0.13)",="(0.00)",="(0.01)",="(8817.00)"
="year=2004 # karadeniz",="0.058",="0.000",="0.002",="-698.164"
="",="(0.12)",="(0.00)",="(0.01)",="(8340.20)"
="year=2004 # marmara",="0.044",="0.000",="-0.004",="-5681.804"
="",="(0.13)",="(0.00)",="(0.01)",="(9117.95)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2005 # dogu",="-0.195",="0.000",="-0.008",="-4838.879"
="",="(0.12)",="(0.00)",="(0.01)",="(8591.01)"
="year=2005 # ege",="0.018",="0.001",="0.001",="-91.460"
="",="(0.14)",="(0.00)",="(0.01)",="(9822.98)"
="year=2005 # guneydogu",="-0.303*",="0.001",="-0.007",="-4379.621"
="",="(0.14)",="(0.00)",="(0.01)",="(9815.89)"
="year=2005 # icanadolu",="-0.194",="-0.000",="-0.003",="-5943.437"
="",="(0.13)",="(0.00)",="(0.01)",="(8817.20)"
="year=2005 # karadeniz",="-0.095",="0.000",="-0.001",="-2119.804"
="",="(0.12)",="(0.00)",="(0.01)",="(8338.69)"
="year=2005 # marmara",="-0.147",="-0.000",="-0.005",="-6680.337"
="",="(0.13)",="(0.00)",="(0.01)",="(9119.61)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.186",="0.001",="-0.006",="-5083.688"
="",="(0.12)",="(0.00)",="(0.01)",="(8590.76)"
="year=2006 # ege",="-0.002",="0.000",="0.007",="5025.330"
="",="(0.14)",="(0.00)",="(0.01)",="(9818.17)"
="year=2006 # guneydogu",="-0.283*",="0.001",="-0.003",="-2695.413"
="",="(0.14)",="(0.00)",="(0.01)",="(9812.97)"
="year=2006 # icanadolu",="-0.173",="-0.001",="0.003",="-2299.041"
="",="(0.13)",="(0.00)",="(0.01)",="(8819.37)"
="year=2006 # karadeniz",="-0.096",="0.000",="-0.002",="-3716.981"
="",="(0.12)",="(0.00)",="(0.01)",="(8338.96)"
="year=2006 # marmara",="-0.141",="-0.001",="0.005",="2858.191"
="",="(0.13)",="(0.00)",="(0.01)",="(9118.47)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.151",="0.001",="-0.004",="-6509.281"
="",="(0.12)",="(0.00)",="(0.01)",="(8591.80)"
="year=2007 # ege",="0.006",="-0.001",="-0.004",="-882.930"
="",="(0.14)",="(0.00)",="(0.01)",="(9811.70)"
="year=2007 # guneydogu",="-0.222",="0.001",="-0.002",="-4417.743"
="",="(0.14)",="(0.00)",="(0.01)",="(9817.80)"
="year=2007 # icanadolu",="-0.171",="-0.000",="-0.002",="-5533.838"
="",="(0.13)",="(0.00)",="(0.01)",="(8818.50)"
="year=2007 # karadeniz",="-0.070",="0.000",="-0.002",="-6502.575"
="",="(0.12)",="(0.00)",="(0.01)",="(8337.74)"
="year=2007 # marmara",="-0.143",="-0.001",="-0.003",="-2632.499"
="",="(0.13)",="(0.00)",="(0.01)",="(9117.78)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.141",="-0.000",="-0.006",="-9399.052"
="",="(0.12)",="(0.00)",="(0.01)",="(8592.92)"
="year=2008 # ege",="0.009",="-0.001",="-0.002",="-2840.690"
="",="(0.14)",="(0.00)",="(0.01)",="(9813.68)"
="year=2008 # guneydogu",="-0.259",="0.002",="-0.006",="-7590.273"
="",="(0.14)",="(0.00)",="(0.01)",="(9820.47)"
="year=2008 # icanadolu",="-0.172",="0.000",="-0.000",="-6720.270"
="",="(0.13)",="(0.00)",="(0.01)",="(8819.82)"
="year=2008 # karadeniz",="-0.071",="0.001",="-0.002",="-7811.200"
="",="(0.12)",="(0.00)",="(0.01)",="(8341.25)"
="year=2008 # marmara",="-0.107",="-0.000",="0.003",="1101.002"
="",="(0.13)",="(0.00)",="(0.01)",="(9120.82)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.116",="0.001",="-0.010",="-11508.044"
="",="(0.12)",="(0.00)",="(0.01)",="(8597.91)"
="year=2009 # ege",="0.010",="0.000",="-0.003",="-1939.988"
="",="(0.14)",="(0.00)",="(0.01)",="(9812.70)"
="year=2009 # guneydogu",="-0.241",="0.002",="-0.010",="-10206.954"
="",="(0.14)",="(0.00)",="(0.01)",="(9824.92)"
="year=2009 # icanadolu",="-0.132",="0.000",="0.002",="-6642.874"
="",="(0.13)",="(0.00)",="(0.01)",="(8827.59)"
="year=2009 # karadeniz",="-0.008",="0.001",="-0.004",="-10708.210"
="",="(0.12)",="(0.00)",="(0.01)",="(8347.64)"
="year=2009 # marmara",="-0.105",="-0.000",="-0.003",="-5304.055"
="",="(0.13)",="(0.00)",="(0.01)",="(9123.09)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2010 # dogu",="-0.037",="0.000",="-0.011",="-14202.544"
="",="(0.12)",="(0.00)",="(0.01)",="(8603.85)"
="year=2010 # ege",="-0.028",="0.000",="-0.006",="-4807.444"
="",="(0.14)",="(0.00)",="(0.01)",="(9813.48)"
="year=2010 # guneydogu",="-0.180",="0.002",="-0.012",="-13964.899"
="",="(0.14)",="(0.00)",="(0.01)",="(9835.33)"
="year=2010 # icanadolu",="-0.099",="0.000",="0.003",="-8293.368"
="",="(0.13)",="(0.00)",="(0.01)",="(8830.50)"
="year=2010 # karadeniz",="0.034",="-0.000",="-0.005",="-14097.589"
="",="(0.12)",="(0.00)",="(0.01)",="(8351.98)"
="year=2010 # marmara",="-0.125",="0.000",="-0.003",="-4980.590"
="",="(0.13)",="(0.00)",="(0.01)",="(9120.56)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2011 # dogu",="-0.010",="0.002",="-0.009",="-17170.196*"
="",="(0.13)",="(0.00)",="(0.01)",="(8643.13)"
="year=2011 # ege",="-0.045",="-0.000",="-0.002",="-2808.612"
="",="(0.14)",="(0.00)",="(0.01)",="(9829.59)"
="year=2011 # guneydogu",="-0.190",="0.001",="-0.012",="-17149.848"
="",="(0.14)",="(0.00)",="(0.01)",="(9884.32)"
="year=2011 # icanadolu",="-0.139",="0.000",="0.005",="-9942.191"
="",="(0.13)",="(0.00)",="(0.01)",="(8835.08)"
="year=2011 # karadeniz",="-0.034",="-0.000",="-0.004",="-14547.029"
="",="(0.12)",="(0.00)",="(0.01)",="(8372.27)"
="year=2011 # marmara",="-0.208",="-0.000",="-0.002",="-7007.603"
="",="(0.13)",="(0.00)",="(0.01)",="(9143.48)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2012 # dogu",="0.000",="0.001",="-0.014",="-18658.742*"
="",="(0.13)",="(0.00)",="(0.01)",="(8647.50)"
="year=2012 # ege",="-0.009",="-0.000",="-0.008",="-5997.466"
="",="(0.14)",="(0.00)",="(0.01)",="(9830.89)"
="year=2012 # guneydogu",="-0.174",="0.001",="-0.014",="-18907.202"
="",="(0.14)",="(0.00)",="(0.01)",="(9886.18)"
="year=2012 # icanadolu",="-0.138",="-0.000",="-0.003",="-13789.515"
="",="(0.13)",="(0.00)",="(0.01)",="(8834.66)"
="year=2012 # karadeniz",="-0.016",="-0.001",="-0.010",="-17351.987*"
="",="(0.12)",="(0.00)",="(0.01)",="(8379.55)"
="year=2012 # marmara",="-0.162",="-0.001",="-0.002",="-7117.835"
="",="(0.13)",="(0.00)",="(0.01)",="(9147.42)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2013 # dogu",="0.001",="0.001",="-0.012",="-17953.135*"
="",="(0.13)",="(0.00)",="(0.01)",="(8632.46)"
="year=2013 # ege",="0.009",="-0.000",="-0.007",="-6731.033"
="",="(0.14)",="(0.00)",="(0.01)",="(9826.65)"
="year=2013 # guneydogu",="-0.127",="0.001",="-0.007",="-17457.897"
="",="(0.14)",="(0.00)",="(0.01)",="(9895.27)"
="year=2013 # icanadolu",="-0.135",="-0.000",="-0.001",="-9061.045"
="",="(0.13)",="(0.00)",="(0.01)",="(8835.99)"
="year=2013 # karadeniz",="-0.022",="-0.000",="-0.010",="-17115.747*"
="",="(0.12)",="(0.00)",="(0.01)",="(8377.47)"
="year=2013 # marmara",="-0.108",="-0.000",="-0.003",="-5201.285"
="",="(0.13)",="(0.00)",="(0.01)",="(9157.49)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2014 # dogu",="0.005",="0.001",="-0.012",="-21008.589*"
="",="(0.13)",="(0.00)",="(0.01)",="(8633.83)"
="year=2014 # ege",="0.027",="-0.001",="-0.007",="-9127.768"
="",="(0.14)",="(0.00)",="(0.01)",="(9828.61)"
="year=2014 # guneydogu",="-0.061",="0.002",="-0.004",="-18434.743"
="",="(0.14)",="(0.00)",="(0.01)",="(9902.53)"
="year=2014 # icanadolu",="-0.123",="0.000",="-0.006",="-12573.495"
="",="(0.13)",="(0.00)",="(0.01)",="(8836.85)"
="year=2014 # karadeniz",="0.014",="-0.000",="-0.009",="-20791.257*"
="",="(0.12)",="(0.00)",="(0.01)",="(8382.35)"
="year=2014 # marmara",="-0.127",="-0.001",="-0.005",="-9377.754"
="",="(0.13)",="(0.00)",="(0.01)",="(9152.93)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2015 # dogu",="0.026",="0.001",="-0.014",="-24091.834**"
="",="(0.13)",="(0.00)",="(0.01)",="(8641.58)"
="year=2015 # ege",="0.024",="-0.001",="-0.009",="-8714.896"
="",="(0.14)",="(0.00)",="(0.01)",="(9831.15)"
="year=2015 # guneydogu",="-0.033",="0.002",="-0.007",="-21582.536*"
="",="(0.14)",="(0.00)",="(0.01)",="(9922.27)"
="year=2015 # icanadolu",="-0.091",="-0.000",="0.000",="-11272.335"
="",="(0.13)",="(0.00)",="(0.01)",="(8838.78)"
="year=2015 # karadeniz",="0.034",="-0.000",="-0.007",="-21810.393**"
