="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(0.13)",="(0.13)",="(8818.54)",="(8818.54)",="(0.01)",="(0.01)"
="year=2017 # karadeniz",="0.023",="0.033",="-15110.156",="-15110.156",="-0.005",="-0.005"
="",="(0.12)",="(0.12)",="(8390.31)",="(8390.31)",="(0.01)",="(0.01)"
="year=2017 # marmara",="-0.118",="-0.131",="-8455.063",="-8455.063",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(9110.49)",="(9110.49)",="(0.01)",="(0.01)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.191",="0.187",="-14297.316",="-14297.316",="-0.004",="-0.004"
="",="(0.13)",="(0.13)",="(8674.87)",="(8674.87)",="(0.01)",="(0.01)"
="year=2018 # ege",="0.077",="0.030",="-12205.618",="-12205.618",="-0.006",="-0.006"
="",="(0.14)",="(0.14)",="(9750.32)",="(9750.32)",="(0.01)",="(0.01)"
="year=2018 # guneydogu",="0.046",="0.032",="-16730.134",="-16730.134",="-0.001",="-0.001"
="",="(0.15)",="(0.15)",="(9889.30)",="(9889.30)",="(0.01)",="(0.01)"
="year=2018 # icanadolu",="0.006",="-0.015",="-11769.712",="-11769.712",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(8833.67)",="(8833.67)",="(0.01)",="(0.01)"
="year=2018 # karadeniz",="0.085",="0.094",="-12778.026",="-12778.026",="0.003",="0.003"
="",="(0.12)",="(0.12)",="(8413.12)",="(8413.12)",="(0.01)",="(0.01)"
="year=2018 # marmara",="-0.124",="-0.137",="-8564.703",="-8564.703",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(9107.18)",="(9107.18)",="(0.01)",="(0.01)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.147",="0.143",="-20113.785*",="-20113.785*",="-0.010",="-0.010"
="",="(0.13)",="(0.13)",="(8658.14)",="(8658.14)",="(0.01)",="(0.01)"
="year=2019 # ege",="0.031",="-0.015",="-11769.371",="-11769.371",="-0.012",="-0.012"
="",="(0.14)",="(0.14)",="(9752.63)",="(9752.63)",="(0.01)",="(0.01)"
="year=2019 # guneydogu",="0.084",="0.067",="-21852.960*",="-21852.960*",="-0.004",="-0.004"
="",="(0.15)",="(0.15)",="(9941.78)",="(9941.78)",="(0.01)",="(0.01)"
="year=2019 # icanadolu",="0.009",="-0.013",="-16767.291",="-16767.291",="-0.006",="-0.006"
="",="(0.13)",="(0.13)",="(8838.51)",="(8838.51)",="(0.01)",="(0.01)"
="year=2019 # karadeniz",="0.042",="0.051",="-17589.314*",="-17589.314*",="-0.004",="-0.004"
="",="(0.12)",="(0.12)",="(8399.83)",="(8399.83)",="(0.01)",="(0.01)"
="year=2019 # marmara",="-0.050",="-0.066",="-10315.207",="-10315.207",="0.001",="0.001"
="",="(0.13)",="(0.13)",="(9132.33)",="(9132.33)",="(0.01)",="(0.01)"
="cat_cpk16_p90=0",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="(.)",="(.)",="(.)",="(.)",="(.)"
="cat_cpk16_p90=1",="",="0.065**",="14428.297***",="14428.297***",="0.005**",="0.005**"
="",="",="(0.02)",="(1513.65)",="(1513.65)",="(0.00)",="(0.00)"
="period16=0 # cat_cpk16_p90=0",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="(.)",="(.)",="(.)",="(.)",="(.)"
="period16=0 # cat_cpk16_p90=1",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="(.)",="(.)",="(.)",="(.)",="(.)"
="period16=1 # cat_cpk16_p90=0",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="(.)",="(.)",="(.)",="(.)",="(.)"
="period16=1 # cat_cpk16_p90=1",="",="-0.140**",="5385.570",="5385.570",="-0.004",="-0.004"
="",="",="(0.05)",="(3143.30)",="(3143.30)",="(0.00)",="(0.00)"
="constant",="7.872***",="7.874***",="-18627.624***",="-18627.624***",="0.033***",="0.033***"
="",="(0.07)",="(0.07)",="(5034.36)",="(5034.36)",="(0.01)",="(0.01)"
="R-sqr",="0.893",="0.893",="0.983",="0.983",="0.700",="0.700"
="dfres",="1400",="1400",="1326",="1326",="1326",="1326"
="BIC",="325.6",="329.0",="32753.1",="32753.1",="-7215.4",="-7215.4"
="* p<0.05, ** p<0.01, *** p<0.001"
