="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="year=2001 # icanadolu",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # karadeniz",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2001 # marmara",="0.000",="",="",="",="0.000",="0.000"
="",="(.)",="",="",="",="(.)",="(.)"
="year=2002 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.032",="0.000",="0.000",="0.000",="-9.855",="-0.001"
="",="(0.13)",="(.)",="(.)",="(.)",="(6.45)",="(0.00)"
="year=2002 # ege",="0.017",="0.000",="0.000",="0.000",="5.959",="-0.000"
="",="(0.15)",="(.)",="(.)",="(.)",="(7.37)",="(0.00)"
="year=2002 # guneydogu",="-0.078",="0.000",="0.000",="0.000",="-1.434",="0.000"
="",="(0.15)",="(.)",="(.)",="(.)",="(7.37)",="(0.00)"
="year=2002 # icanadolu",="0.011",="0.000",="0.000",="0.000",="-0.773",="-0.001"
="",="(0.13)",="(.)",="(.)",="(.)",="(6.62)",="(0.00)"
="year=2002 # karadeniz",="-0.025",="0.000",="0.000",="0.000",="-5.348",="-0.000"
="",="(0.13)",="(.)",="(.)",="(.)",="(6.27)",="(0.00)"
="year=2002 # marmara",="0.007",="0.000",="0.000",="0.000",="9.657",="-0.000"
="",="(0.14)",="(.)",="(.)",="(.)",="(6.85)",="(0.00)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.044",="0.018",="-0.000",="-2107.033",="-6.069",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(8913.79)",="(6.45)",="(0.00)"
="year=2003 # ege",="0.019",="-0.006",="0.002",="-2035.756",="8.799",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10181.54)",="(7.37)",="(0.00)"
="year=2003 # guneydogu",="-0.091",="0.050",="0.001",="-660.782",="0.831",="-0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10180.51)",="(7.37)",="(0.00)"
="year=2003 # icanadolu",="-0.006",="0.053",="0.002",="-1946.215",="1.210",="-0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(9150.44)",="(6.62)",="(0.00)"
="year=2003 # karadeniz",="-0.024",="0.125",="0.004",="-917.836",="-4.508",="-0.001"
="",="(0.13)",="(0.21)",="(0.01)",="(8653.71)",="(6.26)",="(0.00)"
="year=2003 # marmara",="-0.003",="0.021",="-0.001",="-41.059",="2.628",="-0.001"
="",="(0.14)",="(0.23)",="(0.01)",="(9461.35)",="(6.85)",="(0.00)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.034",="0.107",="0.001",="-1782.319",="-4.664",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(8917.13)",="(6.45)",="(0.00)"
="year=2004 # ege",="0.064",="0.034",="0.002",="-2033.298",="23.560**",="0.003*"
="",="(0.15)",="(0.25)",="(0.01)",="(10193.61)",="(7.38)",="(0.00)"
="year=2004 # guneydogu",="-0.026",="0.098",="-0.003",="-1197.381",="1.072",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10182.32)",="(7.37)",="(0.00)"
="year=2004 # icanadolu",="0.044",="-0.023",="-0.004",="-5694.031",="1.220",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9151.47)",="(6.62)",="(0.00)"
="year=2004 # karadeniz",="0.042",="0.147",="0.002",="-1492.650",="-0.172",="0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8659.57)",="(6.26)",="(0.00)"
="year=2004 # marmara",="0.051",="0.081",="-0.004",="-6127.475",="3.541",="0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9464.49)",="(6.85)",="(0.00)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
