="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="year=2018 # guneydogu",="-0.218",="0.102",="-0.000",="-10511.084",="-0.407",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10250.43)",="(7.43)",="(0.00)"
="year=2018 # icanadolu",="-0.070",="-0.013",="0.001",="-7666.247",="-4.966",="-0.000"
="",="(0.14)",="(0.22)",="(0.01)",="(9213.89)",="(6.67)",="(0.00)"
="year=2018 # karadeniz",="0.061",="0.274",="0.005",="-6962.112",="-5.049",="-0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8816.99)",="(6.39)",="(0.00)"
="year=2018 # marmara",="-0.144",="0.347",="0.000",="-8072.427",="-2.223",="-0.001"
="",="(0.14)",="(0.23)",="(0.01)",="(9479.29)",="(6.86)",="(0.00)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.013",="0.117",="-0.007",="-13549.083",="-10.873",="-0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(9057.60)",="(6.57)",="(0.00)"
="year=2019 # ege",="0.060",="-0.174",="-0.013",="-14026.692",="-6.150",="-0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10208.25)",="(7.39)",="(0.00)"
="year=2019 # guneydogu",="-0.237",="-0.040",="-0.003",="-13531.385",="-2.222",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10286.81)",="(7.46)",="(0.00)"
="year=2019 # icanadolu",="-0.094",="-0.160",="-0.006",="-12641.648",="-1.374",="0.000"
="",="(0.14)",="(0.22)",="(0.01)",="(9204.12)",="(6.66)",="(0.00)"
="year=2019 # karadeniz",="0.021",="0.127",="-0.002",="-12674.891",="-5.407",="-0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8779.24)",="(6.36)",="(0.00)"
="year=2019 # marmara",="-0.142",="0.314",="0.000",="-8117.610",="1.738",="-0.001"
="",="(0.14)",="(0.23)",="(0.01)",="(9489.44)",="(6.87)",="(0.00)"
="constant",="7.780***",="1.202***",="0.038***",="-12243.581*",="-13.048**",="0.001"
="",="(0.08)",="(0.13)",="(0.01)",="(5394.63)",="(3.96)",="(0.00)"
="R-sqr",="0.884",="0.715",="0.701",="0.981",="0.922",="0.269"
="dfres",="1401",="1327",="1327",="1327",="1399",="1399"
="BIC",="450.2",="1879.0",="-7228.6",="32874.7",="12434.7",="-14383.4"
="* p<0.05, ** p<0.01, *** p<0.001"
