="",="(1)",="(2)",="(3)"
="year=2003 # karadeniz",="-0.007",="-203.374",="0.004"
="",="(0.12)",="(8342.49)",="(0.01)"
="year=2003 # marmara",="-0.005",="214.050",="-0.001"
="",="(0.13)",="(9121.16)",="(0.01)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.057",="-1698.882",="0.001"
="",="(0.12)",="(8594.79)",="(0.01)"
="year=2004 # ege",="0.019",="-728.780",="0.003"
="",="(0.14)",="(9821.47)",="(0.01)"
="year=2004 # guneydogu",="-0.006",="-1111.564",="-0.003"
="",="(0.14)",="(9815.33)",="(0.01)"
="year=2004 # icanadolu",="0.055",="-5361.447",="-0.004"
="",="(0.13)",="(8821.41)",="(0.01)"
="year=2004 # karadeniz",="0.057",="-719.333",="0.002"
="",="(0.12)",="(8344.37)",="(0.01)"
="year=2004 # marmara",="0.042",="-5662.328",="-0.004"
="",="(0.13)",="(9122.49)",="(0.01)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2005 # dogu",="-0.192",="-4776.675",="-0.008"
="",="(0.12)",="(8595.32)",="(0.01)"
="year=2005 # ege",="0.015",="-231.637",="0.001"
="",="(0.14)",="(9827.98)",="(0.01)"
="year=2005 # guneydogu",="-0.299*",="-4342.222",="-0.007"
="",="(0.14)",="(9820.83)",="(0.01)"
="year=2005 # icanadolu",="-0.194",="-5952.858",="-0.003"
="",="(0.13)",="(8821.62)",="(0.01)"
="year=2005 # karadeniz",="-0.094",="-2146.530",="-0.001"
="",="(0.12)",="(8342.88)",="(0.01)"
="year=2005 # marmara",="-0.148",="-6693.850",="-0.005"
="",="(0.13)",="(9124.19)",="(0.01)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.185",="-4990.616",="-0.006"
="",="(0.12)",="(8595.02)",="(0.01)"
="year=2006 # ege",="-0.004",="4915.302",="0.007"
="",="(0.14)",="(9823.12)",="(0.01)"
="year=2006 # guneydogu",="-0.281*",="-2665.643",="-0.003"
="",="(0.14)",="(9817.86)",="(0.01)"
="year=2006 # icanadolu",="-0.177",="-2274.846",="0.003"
="",="(0.13)",="(8823.71)",="(0.01)"
="year=2006 # karadeniz",="-0.095",="-3742.739",="-0.002"
="",="(0.12)",="(8343.14)",="(0.01)"
="year=2006 # marmara",="-0.142",="2884.100",="0.005"
="",="(0.13)",="(9123.03)",="(0.01)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.153",="-6392.090",="-0.004"
