="",="(1)",="(2)",="(3)",="(4)"
="karadeniz",="0.057",="-0.000",="-0.003",="9414.156"
="",="(0.09)",="(0.00)",="(0.01)",="(5852.15)"
="marmara",="0.520***",="0.000",="0.004",="-543.342"
="",="(0.09)",="(0.00)",="(0.01)",="(6419.69)"
="year=2001 # akdeniz",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2001 # dogu",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2001 # ege",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2001 # guneydogu",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2001 # icanadolu",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2001 # karadeniz",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2001 # marmara",="0.000",="0.000",="",=""
="",="(.)",="(.)",="",=""
="year=2002 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2002 # dogu",="-0.010",="-0.001",="0.000",="0.000"
="",="(0.12)",="(0.00)",="(.)",="(.)"
="year=2002 # ege",="0.017",="-0.000",="0.000",="0.000"
="",="(0.14)",="(0.00)",="(.)",="(.)"
="year=2002 # guneydogu",="-0.061",="0.000",="0.000",="0.000"
="",="(0.14)",="(0.00)",="(.)",="(.)"
="year=2002 # icanadolu",="0.031",="-0.001",="0.000",="0.000"
="",="(0.13)",="(0.00)",="(.)",="(.)"
="year=2002 # karadeniz",="0.011",="-0.000",="0.000",="0.000"
="",="(0.12)",="(0.00)",="(.)",="(.)"
="year=2002 # marmara",="0.015",="-0.000",="0.000",="0.000"
="",="(0.13)",="(0.00)",="(.)",="(.)"
="year=2003 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.034",="-0.000",="-0.000",="-2018.526"
="",="(0.12)",="(0.00)",="(0.01)",="(8445.42)"
="year=2003 # ege",="-0.003",="0.001",="0.002",="-1877.950"
="",="(0.14)",="(0.00)",="(0.01)",="(9646.60)"
="year=2003 # guneydogu",="-0.085",="-0.000",="0.001",="-602.931"
="",="(0.14)",="(0.00)",="(0.01)",="(9645.39)"
="year=2003 # icanadolu",="-0.001",="-0.001",="0.002",="-1850.607"
="",="(0.13)",="(0.00)",="(0.01)",="(8669.14)"
="year=2003 # karadeniz",="-0.009",="-0.001",="0.003",="-768.621"
="",="(0.12)",="(0.00)",="(0.01)",="(8198.67)"
="year=2003 # marmara",="-0.002",="-0.001",="-0.001",="22.464"
="",="(0.13)",="(0.00)",="(0.01)",="(8963.66)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.058",="-0.000",="0.001",="-1813.637"
="",="(0.12)",="(0.00)",="(0.01)",="(8446.41)"
="year=2004 # ege",="0.028",="0.003*",="0.002",="-1814.993"
="",="(0.14)",="(0.00)",="(0.01)",="(9653.11)"
="year=2004 # guneydogu",="-0.008",="0.001",="-0.003",="-1274.145"
="",="(0.14)",="(0.00)",="(0.01)",="(9645.84)"
="year=2004 # icanadolu",="0.057",="-0.000",="-0.004",="-5648.173"
="",="(0.13)",="(0.00)",="(0.01)",="(8669.19)"
="year=2004 # karadeniz",="0.058",="0.000",="0.002",="-1360.329"
="",="(0.12)",="(0.00)",="(0.01)",="(8200.89)"
="year=2004 # marmara",="0.047",="0.000",="-0.004",="-6020.379"
="",="(0.13)",="(0.00)",="(0.01)",="(8965.17)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2005 # dogu",="-0.199",="0.000",="-0.007",="-4172.994"
="",="(0.12)",="(0.00)",="(0.01)",="(8447.20)"
="year=2005 # ege",="0.024",="0.001",="-0.000",="-1883.019"
="",="(0.14)",="(0.00)",="(0.01)",="(9660.58)"
="year=2005 # guneydogu",="-0.310*",="0.001",="-0.007",="-3347.169"
="",="(0.14)",="(0.00)",="(0.01)",="(9652.30)"
="year=2005 # icanadolu",="-0.193",="-0.000",="-0.004",="-6334.961"
="",="(0.13)",="(0.00)",="(0.01)",="(8669.44)"
="year=2005 # karadeniz",="-0.096",="0.000",="-0.001",="-2694.899"
="",="(0.12)",="(0.00)",="(0.01)",="(8199.12)"
="year=2005 # marmara",="-0.143",="-0.000",="-0.005",="-7357.820"
="",="(0.13)",="(0.00)",="(0.01)",="(8967.11)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.189",="0.001",="-0.006",="-4378.246"
="",="(0.12)",="(0.00)",="(0.01)",="(8446.69)"
="year=2006 # ege",="0.003",="0.000",="0.006",="3593.005"
="",="(0.14)",="(0.00)",="(0.01)",="(9654.86)"
="year=2006 # guneydogu",="-0.288*",="0.001",="-0.002",="-1946.746"
="",="(0.14)",="(0.00)",="(0.01)",="(9648.63)"
="year=2006 # icanadolu",="-0.172",="-0.001",="0.002",="-2715.737"
="",="(0.13)",="(0.00)",="(0.01)",="(8671.77)"
="year=2006 # karadeniz",="-0.097",="0.000",="-0.002",="-4317.480"
="",="(0.12)",="(0.00)",="(0.01)",="(8199.39)"
="year=2006 # marmara",="-0.138",="-0.001",="0.005",="2454.355"
="",="(0.13)",="(0.00)",="(0.01)",="(8965.74)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.152",="0.001",="-0.004",="-5996.850"
="",="(0.12)",="(0.00)",="(0.01)",="(8447.16)"
="year=2007 # ege",="0.007",="-0.001",="-0.004",="-1288.906"
="",="(0.14)",="(0.00)",="(0.01)",="(9646.74)"
="year=2007 # guneydogu",="-0.226",="0.001",="-0.001",="-3431.918"
="",="(0.14)",="(0.00)",="(0.01)",="(9652.12)"
="year=2007 # icanadolu",="-0.170",="-0.000",="-0.002",="-5473.260"
="",="(0.13)",="(0.00)",="(0.01)",="(8670.40)"
="year=2007 # karadeniz",="-0.071",="0.000",="-0.002",="-6805.534"
="",="(0.12)",="(0.00)",="(0.01)",="(8197.98)"
="year=2007 # marmara",="-0.142",="-0.001",="-0.003",="-2574.452"
="",="(0.13)",="(0.00)",="(0.01)",="(8964.69)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.142",="-0.000",="-0.006",="-8713.415"
="",="(0.12)",="(0.00)",="(0.01)",="(8448.07)"
="year=2008 # ege",="0.013",="-0.001",="-0.003",="-3641.007"
="",="(0.14)",="(0.00)",="(0.01)",="(9649.69)"
="year=2008 # guneydogu",="-0.265",="0.002",="-0.006",="-6241.986"
="",="(0.14)",="(0.00)",="(0.01)",="(9655.19)"
="year=2008 # icanadolu",="-0.171",="0.000",="-0.001",="-6980.239"
="",="(0.13)",="(0.00)",="(0.01)",="(8672.07)"
