year,region_code,province,educ_total_hs,educ_total_col,educ_pct_hs,educ_pct_col
2015,TR612,Isparta,82918,49404,24.83,14.79
2016,TR612,Isparta,90133,52585,26.6,15.52
2017,TR612,Isparta,90812,54670,26.27,15.81
2018,TR612,Isparta,102325,56397,29.1,16.04
2019,TR612,Isparta,102356,59716,28.93,16.88
2008,TR613,Burdur,32304,11915,17.09,6.3
2009,TR613,Burdur,34072,15139,17.46,7.76
2010,TR613,Burdur,38878,16086,19.15,7.92
2011,TR613,Burdur,36565,18246,18.56,9.26
2012,TR613,Burdur,40871,19719,20.28,9.78
2013,TR613,Burdur,41294,21987,20.17,10.74
2014,TR613,Burdur,40634,24229,19.74,11.77
2015,TR613,Burdur,42882,26354,20.54,12.62
2016,TR613,Burdur,46851,28064,22.11,13.24
2017,TR613,Burdur,48208,29774,22.32,13.79
2018,TR613,Burdur,51360,32608,23.4,14.85
2019,TR613,Burdur,52070,34702,23.61,15.74
2008,TR621,Adana,300221,93801,22.12,6.91
2009,TR621,Adana,312393,115455,22.06,8.15
2010,TR621,Adana,340733,121707,23.55,8.41
2011,TR621,Adana,354770,144333,23.76,9.67
2012,TR621,Adana,356011,154990,23.39,10.18
2013,TR621,Adana,353256,175254,22.91,11.37
2014,TR621,Adana,362857,191858,23.07,12.2
2015,TR621,Adana,366471,214943,22.86,13.41
2016,TR621,Adana,391199,228824,24.1,14.09
2017,TR621,Adana,390352,236103,23.83,14.41
2018,TR621,Adana,410691,245469,25.04,14.97
2019,TR621,Adana,424630,256117,25.63,15.46
2008,TR622,Mersin,227985,78269,20.6,7.07
2009,TR622,Mersin,239391,97438,20.69,8.42
2010,TR622,Mersin,255931,101050,21.83,8.62
2011,TR622,Mersin,267063,120059,22.04,9.91
2012,TR622,Mersin,266398,129277,21.59,10.48
2013,TR622,Mersin,265370,145592,21.22,11.64
2014,TR622,Mersin,276231,161301,21.53,12.57
2015,TR622,Mersin,281275,178825,21.53,13.69
2016,TR622,Mersin,301183,191370,22.67,14.41
2017,TR622,Mersin,303604,199755,22.58,14.86
2018,TR622,Mersin,321767,210803,23.69,15.52
2019,TR622,Mersin,333625,220726,24.24,16.04
2008,TR631,Hatay,158911,47133,17.34,5.14
2009,TR631,Hatay,168248,60819,17.58,6.36
2010,TR631,Hatay,190199,65044,19.19,6.56
2011,TR631,Hatay,191575,76982,19.1,7.67
2012,TR631,Hatay,190407,83272,18.78,8.22
2013,TR631,Hatay,189758,99898,18.38,9.68
2014,TR631,Hatay,198090,109209,18.74,10.33
2015,TR631,Hatay,202136,122390,18.8,11.38
2016,TR631,Hatay,217349,134168,19.8,12.22
2017,TR631,Hatay,218575,139284,19.65,12.52
2018,TR631,Hatay,236952,149513,20.91,13.19
2019,TR631,Hatay,247037,158362,21.46,13.76
2008,TR632,Kahramanmaraş,111467,29978,16.98,4.57
2009,TR632,Kahramanmaraş,114788,37837,17.03,5.61
2010,TR632,Kahramanmaraş,126308,39608,18.44,5.78
2011,TR632,Kahramanmaraş,133533,47894,19.01,6.82
2012,TR632,Kahramanmaraş,135283,53191,18.96,7.46
2013,TR632,Kahramanmaraş,133976,62583,18.45,8.62
2014,TR632,Kahramanmaras,139990,70002,18.76,9.38
2015,TR632,Kahramanmaras,143610,78609,18.94,10.37
2016,TR632,Kahramanmaras,159247,86019,20.48,11.06
2017,TR632,Kahramanmaras,156901,89466,19.87,11.33
2018,TR632,Kahramanmaras,172612,95936,21.38,11.89
2019,TR632,Kahramanmaras,179409,101841,21.88,12.42
2008,TR633,Osmaniye,63445,17289,20.91,5.7
2009,TR633,Osmaniye,65787,21541,20.9,6.84
2010,TR633,Osmaniye,73028,22787,22.55,7.04
2011,TR633,Osmaniye,77461,27725,23.21,8.31
2012,TR633,Osmaniye,78985,31486,23.17,9.24
2013,TR633,Osmaniye,77059,37229,22.18,10.71
2014,TR633,Osmaniye,79266,42084,22.12,11.74
2015,TR633,Osmaniye,82486,46725,22.56,12.78
2016,TR633,Osmaniye,92925,51703,24.73,13.76
2017,TR633,Osmaniye,91543,53882,24.01,14.13
2018,TR633,Osmaniye,99244,57071,25.61,14.73
2019,TR633,Osmaniye,101548,59210,25.97,15.14
2008,TR711,Kırıkkale,48782,11898,24.64,6.01
2009,TR711,Kırıkkale,51327,15411,25.08,7.53
2010,TR711,Kırıkkale,55256,15629,26.98,7.63
2011,TR711,Kırıkkale,58198,18889,27.4,8.89
2012,TR711,Kırıkkale,61202,19946,28.67,9.34
2013,TR711,Kırıkkale,58220,22849,27.15,10.66
2014,TR711,Kirikkale,59203,25285,27.69,11.83
2015,TR711,Kirikkale,59901,27393,28.01,12.81
2016,TR711,Kirikkale,66259,29741,30.22,13.56
2017,TR711,Kirikkale,65185,30708,29.63,13.96
2018,TR711,Kirikkale,71509,32105,31.55,14.17
2019,TR711,Kirikkale,70476,32537,31.5,14.54
2008,TR712,Aksaray,35194,11064,14.39,4.52
2009,TR712,Aksaray,37090,13627,14.71,5.4
2010,TR712,Aksaray,40194,14417,15.79,5.66
2011,TR712,Aksaray,43646,17531,16.39,6.58
2012,TR712,Aksaray,44999,18939,16.71,7.03
2013,TR712,Aksaray,44869,21506,16.49,7.91
2014,TR712,Aksaray,46236,23636,16.77,8.57
2015,TR712,Aksaray,47879,26269,17.23,9.45
2016,TR712,Aksaray,54377,29145,19.03,10.2
2017,TR712,Aksaray,55145,30420,19.06,10.51
2018,TR712,Aksaray,59660,32699,20.24,11.09
2019,TR712,Aksaray,61902,34773,20.77,11.67
2008,TR713,Niğde,37136,12336,16.17,5.37
2009,TR713,Niğde,38793,15254,16.5,6.49
2010,TR713,Niğde,41460,15881,17.58,6.73
2011,TR713,Niğde,43793,18487,18.04,7.61
2012,TR713,Niğde,45529,19468,18.46,7.9
2013,TR713,Niğde,44763,22796,17.87,9.1
2014,TR713,Nigde,46437,24886,18.29,9.8
2015,TR713,Nigde,48308,27423,18.81,10.68
2016,TR713,Nigde,54314,29684,20.73,11.33
2017,TR713,Nigde,54982,29942,20.81,11.33
2018,TR713,Nigde,60832,32127,22.13,11.69
2019,TR713,Nigde,60941,33702,22.23,12.29
2008,TR714,Nevşehir,33510,10609,16.63,5.27
2009,TR714,Nevşehir,34626,13066,16.86,6.36
2010,TR714,Nevşehir,38084,13628,18.51,6.62
2011,TR714,Nevşehir,39893,16449,18.85,7.77
2012,TR714,Nevşehir,42073,17749,19.59,8.26
2013,TR714,Nevşehir,41633,20737,19.26,9.6
2014,TR714,Nevsehir,42466,22518,19.51,10.35
2015,TR714,Nevsehir,44750,24868,20.35,11.31
2016,TR714,Nevsehir,49751,26508,22.26,11.86
2017,TR714,Nevsehir,50485,27340,22.47,12.17
2018,TR714,Nevsehir,54027,29290,23.7,12.85
2019,TR714,Nevsehir,56020,31435,24.22,13.59
2008,TR715,Kırşehir,34200,9678,21.1,5.97
2009,TR715,Kırşehir,35170,12916,21.27,7.81
2010,TR715,Kırşehir,38383,12948,23.12,7.8
2011,TR715,Kırşehir,39170,15535,23,9.12
2012,TR715,Kırşehir,41337,16477,24.15,9.62
2013,TR715,Kırşehir,40692,18929,23.48,10.92
2014,TR715,Kirsehir,40934,20861,23.46,11.95
2015,TR715,Kirsehir,42125,23770,23.79,13.42
2016,TR715,Kirsehir,45866,25581,25.5,14.22
2017,TR715,Kirsehir,45153,26253,25.04,14.56
2018,TR715,Kirsehir,49200,28090,26.58,15.17
2019,TR715,Kirsehir,49787,29051,26.98,15.75
2008,TR721,Kayseri,169007,55880,21.74,7.19
2009,TR721,Kayseri,175333,71088,21.45,8.7
2010,TR721,Kayseri,194769,74779,22.99,8.83
2011,TR721,Kayseri,201914,89866,23.07,10.27
2012,TR721,Kayseri,211048,96408,23.08,10.54
2013,TR721,Kayseri,209697,109392,22.5,11.74
2014,TR721,Kayseri,218840,121314,22.77,12.62
2015,TR721,Kayseri,226838,134642,23.08,13.7
2016,TR721,Kayseri,243114,143926,24.32,14.4
2017,TR721,Kayseri,247565,148745,24.31,14.61
2018,TR721,Kayseri,261229,157559,25.44,15.34
2019,TR721,Kayseri,266762,165985,25.6,15.93
2008,TR722,Sivas,90625,23992,21.19,5.61
2009,TR722,Sivas,91945,33469,20.78,7.56
2010,TR722,Sivas,104018,33891,22.77,7.42
2011,TR722,Sivas,101676,39903,22.58,8.86
2012,TR722,Sivas,103362,42896,22.51,9.34
2013,TR722,Sivas,100590,50140,21.74,10.84
2014,TR722,Sivas,102553,53699,21.81,11.42
2015,TR722,Sivas,107805,57947,22.93,12.33
2016,TR722,Sivas,114485,61734,24.08,12.99
2017,TR722,Sivas,114206,63274,23.92,13.25
2018,TR722,Sivas,125612,66995,25.03,13.35
2019,TR722,Sivas,127131,70385,25.6,14.17
2008,TR723,Yozgat,54704,12413,17.18,3.9
2009,TR723,Yozgat,56573,16033,17.31,4.91
2010,TR723,Yozgat,60448,16308,18.7,5.04
2011,TR723,Yozgat,62468,20077,19.3,6.2
2012,TR723,Yozgat,63528,21854,19.45,6.69
2013,TR723,Yozgat,60901,25316,18.82,7.82
2014,TR723,Yozgat,61119,27608,19.07,8.61
2015,TR723,Yozgat,60712,29550,19.4,9.44
2016,TR723,Yozgat,65771,32852,20.83,10.4
2017,TR723,Yozgat,65392,33412,20.74,10.6
2018,TR723,Yozgat,72009,34968,22.43,10.89
2019,TR723,Yozgat,73850,36582,23.09,11.44
2008,TR811,Zonguldak,90536,26685,19.58,5.77
2009,TR811,Zonguldak,93793,32321,19.93,6.87
2010,TR811,Zonguldak,101906,33361,21.42,7.01
2011,TR811,Zonguldak,102990,39104,21.68,8.23
2012,TR811,Zonguldak,102716,40913,21.69,8.64
2013,TR811,Zonguldak,101568,45896,21.54,9.73
2014,TR811,Zonguldak,104406,49752,21.93,10.45
2015,TR811,Zonguldak,105691,54304,22.15,11.38
2016,TR811,Zonguldak,111427,57723,23.19,12.01
2017,TR811,Zonguldak,112674,58941,23.39,12.24
2018,TR811,Zonguldak,118902,61472,24.5,12.67
2019,TR811,Zonguldak,121267,63295,25.06,13.08
2008,TR812,Karabük,31844,10842,19.3,6.57
2009,TR812,Karabük,33936,13730,20.02,8.1
2010,TR812,Karabük,40577,14770,22.57,8.22
2011,TR812,Karabük,38863,17149,22.26,9.82
2012,TR812,Karabük,43168,19496,23.85,10.77
2013,TR812,Karabük,45875,21341,24.62,11.45
2014,TR812,Karabük,47370,23385,25.1,12.39
2015,TR812,Karabük,51258,26479,26.42,13.65
2016,TR812,Karabük,56389,28790,28.44,14.52
2017,TR812,Karabük,55309,29944,27.82,15.06
2018,TR812,Karabük,57047,30990,28.41,15.43
2019,TR812,Karabük,55465,33110,27.76,16.57
2008,TR813,Bartın,19182,6714,13.9,4.86
2009,TR813,Bartın,20738,8360,14.47,5.83
2010,TR813,Bartın,22697,8784,15.67,6.06
2011,TR813,Bartın,23389,10700,15.97,7.31
2012,TR813,Bartın,24774,11485,16.66,7.72
2013,TR813,Bartın,24736,13368,16.49,8.91
2014,TR813,Bartin,25543,14518,16.76,9.52
2015,TR813,Bartin,27870,15739,17.95,10.14
2016,TR813,Bartin,30254,16817,19.25,10.7
2017,TR813,Bartin,30885,17445,19.46,10.99
2018,TR813,Bartin,34205,18292,20.92,11.19
2019,TR813,Bartin,35724,19156,21.9,11.75
2008,TR821,Kastamonu,40737,13165,14.71,4.75
2009,TR821,Kastamonu,42105,16639,15.03,5.94
2010,TR821,Kastamonu,46348,17306,16.32,6.09
2011,TR821,Kastamonu,48292,20445,16.83,7.13
2012,TR821,Kastamonu,50381,21945,17.49,7.62
2013,TR821,Kastamonu,50051,28351,16.86,9.55
2014,TR821,Kastamonu,52267,31241,17.4,10.4
2015,TR821,Kastamonu,56263,31715,18.62,10.49
2016,TR821,Kastamonu,61334,34434,19.9,11.17
2017,TR821,Kastamonu,60346,34558,19.78,11.33
2018,TR821,Kastamonu,63965,37549,20.31,11.92
2019,TR821,Kastamonu,65640,38049,21.05,12.2
2008,TR822,Çankırı,22602,6706,17.25,5.12
2009,TR822,Çankırı,25380,8532,18.09,6.08
2010,TR822,Çankırı,26496,8400,19.33,6.13
2011,TR822,Çankırı,28309,10083,20.32,7.24
2012,TR822,Çankırı,31337,11392,21.52,7.82
2013,TR822,Çankırı,30859,13875,20.34,9.15
2014,TR822,Çankiri,29948,14814,20.32,10.05
2015,TR822,Çankiri,30565,15939,21.1,11
2016,TR822,Çankiri,33256,16686,22.75,11.42
2017,TR822,Çankiri,33642,17597,22.71,11.88
2018,TR822,Çankiri,41495,20594,23.99,11.91
2019,TR822,Çankiri,37587,19619,24.08,12.57
2008,TR823,Sinop,21055,8493,13.93,5.62
2009,TR823,Sinop,22205,10251,14.44,6.66
2010,TR823,Sinop,24540,10719,15.66,6.84
2011,TR823,Sinop,25378,12872,15.83,8.03
2012,TR823,Sinop,25691,13641,16.06,8.53
2013,TR823,Sinop,25395,15944,15.55,9.76
2014,TR823,Sinop,26173,17525,15.8,10.58
2015,TR823,Sinop,27018,19350,16.35,11.71
2016,TR823,Sinop,28810,20451,17.27,12.26
2017,TR823,Sinop,29801,20866,17.64,12.35
2018,TR823,Sinop,33465,22434,18.62,12.49
2019,TR823,Sinop,34752,22996,19.48,12.89
2008,TR831,Samsun,150847,51931,17.46,6.01
2009,TR831,Samsun,159028,66237,17.69,7.37
2010,TR831,Samsun,173878,68927,19.02,7.54
2011,TR831,Samsun,179395,81881,19.19,8.76
2012,TR831,Samsun,182371,88883,19.24,9.37
2013,TR831,Samsun,180276,102817,18.75,10.69
2014,TR831,Samsun,189630,114606,19.33,11.68
2015,TR831,Samsun,198437,127547,19.94,12.82
2016,TR831,Samsun,213117,138258,21.1,13.69
2017,TR831,Samsun,215698,144482,21.11,14.14
2018,TR831,Samsun,229942,153056,22.2,14.77
2019,TR831,Samsun,238597,161635,22.8,15.44
2008,TR832,Tokat,71059,21611,16.42,4.99
2009,TR832,Tokat,74124,28380,16.55,6.34
2010,TR832,Tokat,81464,29105,18.12,6.47
2011,TR832,Tokat,81101,34333,18.03,7.63
2012,TR832,Tokat,83083,37177,17.89,8
2013,TR832,Tokat,79979,42173,17.5,9.23
2014,TR832,Tokat,82724,46569,17.92,10.09
2015,TR832,Tokat,86292,51380,18.59,11.07
2016,TR832,Tokat,95236,55567,20.12,11.74
2017,TR832,Tokat,94165,57339,19.86,12.09
2018,TR832,Tokat,101526,60523,20.91,12.47
2019,TR832,Tokat,104576,63228,21.52,13.01
2008,TR833,Çorum,53869,18428,14.03,4.8
2009,TR833,Çorum,55642,23220,14.21,5.93
2010,TR833,Çorum,60756,24071,15.48,6.13
2011,TR833,Çorum,64371,29123,15.89,7.19
2012,TR833,Çorum,65108,31226,16.1,7.72
2013,TR833,Çorum,63967,36210,15.66,8.87
2014,TR833,Çorum,67047,39009,16.37,9.52
2015,TR833,Çorum,70125,42523,17.05,10.34
2016,TR833,Çorum,77001,45478,18.65,11.01
2017,TR833,Çorum,76591,46702,18.56,11.32
2018,TR833,Çorum,83386,49576,19.89,11.82
2019,TR833,Çorum,84582,51855,20.27,12.43
2008,TR834,Amasya,42760,14956,18.31,6.41
2009,TR834,Amasya,44969,18514,18.69,7.69
2010,TR834,Amasya,52277,19673,20.67,7.78
2011,TR834,Amasya,50292,22220,20.39,9.01
2012,TR834,Amasya,51401,23851,20.72,9.62
2013,TR834,Amasya,49837,27502,19.98,11.02
2014,TR834,Amasya,51602,29957,20.32,11.8
2015,TR834,Amasya,53690,32387,20.9,12.6
2016,TR834,Amasya,58115,35347,22.28,13.55
2017,TR834,Amasya,58356,36618,22.07,13.85
2018,TR834,Amasya,63546,40111,23.44,14.79
2019,TR834,Amasya,64889,42010,23.87,15.46
2008,TR901,Trabzon,126425,40642,23.42,7.53
2009,TR901,Trabzon,130722,52033,23.24,9.25
2010,TR901,Trabzon,139941,53181,24.69,9.38
2011,TR901,Trabzon,143087,63083,24.97,11.01
2012,TR901,Trabzon,145751,66750,25.21,11.55
2013,TR901,Trabzon,144612,72591,24.89,12.5
2014,TR901,Trabzon,150316,80532,25.25,13.53
2015,TR901,Trabzon,153147,89270,25.33,14.77
2016,TR901,Trabzon,164862,95609,26.85,15.57
2017,TR901,Trabzon,168666,97836,27.24,15.8
2018,TR901,Trabzon,179610,104561,28.22,16.43
2019,TR901,Trabzon,182134,108687,28.66,17.1
2008,TR902,Ordu,87583,24726,17.13,4.84
2009,TR902,Ordu,91621,30359,17.48,5.79
2010,TR902,Ordu,100034,32360,18.94,6.13
2011,TR902,Ordu,103162,38324,19.33,7.18
2012,TR902,Ordu,107226,42531,19.13,7.59
2013,TR902,Ordu,106538,49084,19.05,8.78
2014,TR902,Ordu,109845,54952,19.47,9.74
2015,TR902,Ordu,113283,60910,19.69,10.59
2016,TR902,Ordu,123129,66777,20.7,11.23
2017,TR902,Ordu,123266,68939,20.9,11.69
2018,TR902,Ordu,135206,75310,21.96,12.23
2019,TR902,Ordu,136333,76710,22.64,12.74
2008,TR903,Giresun,58141,16978,19.16,5.59
2009,TR903,Giresun,60020,22428,19.28,7.2
2010,TR903,Giresun,65438,22695,20.86,7.24
2011,TR903,Giresun,68252,27070,21.26,8.43
2012,TR903,Giresun,69490,29715,21.34,9.13
2013,TR903,Giresun,69889,34172,21.03,10.28
2014,TR903,Giresun,73421,38239,21.41,11.15
2015,TR903,Giresun,75849,41336,21.91,11.94
2016,TR903,Giresun,82497,46022,22.83,12.73
2017,TR903,Giresun,81067,46819,22.78,13.16
2018,TR903,Giresun,88015,49842,23.69,13.42
2019,TR903,Giresun,88460,52673,24.09,14.34
2008,TR904,Rize,46461,13309,20.58,5.9
2009,TR904,Rize,49180,16734,21.14,7.19
2010,TR904,Rize,53575,17910,22.66,7.58
2011,TR904,Rize,57911,22038,23.68,9.01
2012,TR904,Rize,58576,24345,23.66,9.83
2013,TR904,Rize,59584,27267,23.59,10.79
2014,TR904,Rize,61486,30519,23.78,11.8
2015,TR904,Rize,63027,33953,24.02,12.94
2016,TR904,Rize,66806,36412,25.18,13.72
2017,TR904,Rize,67664,37773,25.43,14.2
2018,TR904,Rize,74889,41364,26.54,14.66
2019,TR904,Rize,76698,42702,27.61,15.37
2008,TR905,Artvin,27549,7024,22.57,5.75
2009,TR905,Artvin,27949,8838,22.45,7.1
2010,TR905,Artvin,30110,9328,23.95,7.42
2011,TR905,Artvin,32218,11634,24.9,8.99
2012,TR905,Artvin,32532,13100,24.75,9.97
2013,TR905,Artvin,33102,15274,24.7,11.4
2014,TR905,Artvin,34001,17373,24.87,12.71
2015,TR905,Artvin,34764,18809,25.22,13.65
2016,TR905,Artvin,36580,19793,26.45,14.31
2017,TR905,Artvin,36870,19724,26.94,14.41
2018,TR905,Artvin,41198,21978,28.52,15.21
2019,TR905,Artvin,41353,22603,29.18,15.95
2008,TR906,Gümüşhane,17885,4349,19.75,4.8
2009,TR906,Gümüşhane,19106,5580,20.6,6.02
2010,TR906,Gümüşhane,20599,5901,22.17,6.35
2011,TR906,Gümüşhane,22866,7817,23.4,8
2012,TR906,Gümüşhane,24436,9102,24.17,9
2013,TR906,Gümüşhane,26786,10965,24.93,10.2
2014,TR906,Gümüshane,29172,13089,25.78,11.57
2015,TR906,Gümüshane,31068,14658,26.44,12.47
2016,TR906,Gümüshane,34521,16985,26.96,13.26
2017,TR906,Gümüshane,33468,17345,27.11,14.05
2018,TR906,Gümüshane,34791,18893,27.1,14.72
2019,TR906,Gümüshane,34588,19211,27.83,15.46
