year,region_code,province,registered_voters_loc,registered_voters_gen,registered_voters_ref,participation_rate,participation_rate15,participation_rate_loc,participation_ref,akp_gen,akp_15,chp_gen,chp_15,mhp_gen,mhp_15,hdp_gen,hdp_15,loc_mayors,mhp_loc,akp_loc,chp_loc,ref_yes,ref_no,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75
2000,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2001,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.19,84,39,74,18,32,23,0.33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002,TR423,Düzce,,193454,,85.7,,,,3,,0,,,,,,,,,,,,1.49,98,69,73,16,49,35,3.64,7,4,0,2,1,3,1,0,0,0,0,2,1,0,0,0,0,1
2003,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.42,86,69,95,21,37,45,1.63,1,4,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
2004,TR423,Düzce,88665,,,,,86.6,,,,,,,,,,11,0,10,0,,,1.19,78,55,92,17,31,28,4.84,8,7,0,0,4,2,0,0,1,0,0,3,2,1,0,0,1,0
2005,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.18,79,39,92,16,31,30,1.91,3,3,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0
2006,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.35,111,63,87,21,39,35,4.09,10,3,0,1,1,2,1,1,2,0,0,1,0,2,0,0,0,0
2007,TR423,Düzce,,205196,206292,90.3,,,76.1,3,,0,,0,,,,,,,,81.2,18.8,0.98,73,43,80,17,31,19,3.11,6,4,0,3,2,1,0,0,0,0,1,0,2,0,0,1,0,0
2008,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.34,93,77,93,14,34,40,2.76,7,2,0,2,1,1,1,0,0,2,0,0,0,0,0,1,1,0
2009,TR423,Düzce,135021,,,,,87.5,,,,,,,,,,11,3,5,2,,,1.27,89,63,95,14,37,39,3.62,7,5,0,0,2,1,0,4,0,0,0,0,2,0,0,0,0,3
2010,TR423,Düzce,,,237477,,,,84.8,,,,,,,,,,,,,72.5,27.5,1.58,131,78,118,11,48,37,2.97,6,4,0,1,2,2,1,0,0,0,1,1,0,1,1,0,0,0
2011,TR423,Düzce,,239422,,90.7,,,,3,,0,,0,,,,,,,,,,1.57,113,96,105,19,35,43,2.35,5,3,0,3,1,0,0,1,0,0,0,1,0,2,0,0,0,0
2012,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.51,132,87,106,11,46,42,2.32,6,2,0,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0
2013,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.93,153,117,149,10,53,50,2.87,8,2,0,0,1,0,1,2,2,2,0,0,0,1,0,0,0,1
2014,TR423,Düzce,152137,,,,,91.1,,,,,,,,,,10,0,10,0,,,2.06,175,109,147,28,91,50,3.39,8,4,0,1,1,2,1,2,0,1,0,2,1,1,0,0,0,0
2015,TR423,Düzce,,253389,,88.9,89.8,,,3,3,0,0,0,0,0,0,,,,,,,2.18,166,130,172,29,81,69,3.35,10,2,0,2,0,3,2,1,1,1,0,0,0,0,2,0,0,0
2016,TR423,Düzce,,,,,,,,,,,,,,,,,,,,,,1.43,126,71,122,7,62,44,3.56,12,1,0,1,4,3,0,2,2,0,0,0,0,0,0,1,0,0
2017,TR423,Düzce,,,261702,,,,90.4,,,,,,,,,,,,,70.6,29.4,1.78,128,94,169,21,90,54,3.48,12,1,0,3,2,3,3,0,1,0,0,1,0,0,0,0,0,0
2018,TR423,Düzce,,267610,,91.3,,,,2,,0,,1,,0,,,,,,,,1.73,128,97,168,13,90,58,3.92,12,3,0,0,2,1,2,4,2,1,0,0,1,1,0,0,1,0
2019,TR423,Düzce,174332,,,,,87.1,,,,,,,,,,10,5,5,0,,,1.93,143,111,209,10,79,45,4.87,14,5,1,3,1,2,1,3,1,2,0,0,2,2,0,0,1,0
2000,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2001,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.14,62,31,69,22,29,25,5.06,9,4,0,3,0,1,2,1,2,0,0,0,0,1,1,2,0,0
2002,TR424,Bolu,,183308,,86.4,,,,3,,0,,,,,,,,,,,,1.14,59,37,61,18,32,29,1.16,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2003,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.28,68,39,69,12,41,37,4.6,5,7,1,0,1,0,2,0,0,1,0,5,0,2,0,0,0,0
2004,TR424,Bolu,92819,,,,,80.8,,,,,,,,,,13,0,10,1,,,1.18,75,41,72,12,30,20,3.04,3,5,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1
2005,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.04,61,31,52,8,30,28,4.53,7,5,0,1,2,1,0,0,2,1,0,2,2,0,0,1,0,0
2006,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.18,70,41,67,15,31,25,4.49,4,8,0,2,1,0,1,0,0,0,0,3,4,0,1,0,0,0
2007,TR424,Bolu,,185063,185649,89.8,,,78.1,3,,0,,0,,,,,,,,74.7,25.3,1.05,67,31,69,13,30,17,6.31,6,11,0,1,2,2,1,0,0,0,0,7,3,0,1,0,0,0
2008,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.1,75,36,59,8,32,26,4.82,7,6,1,1,0,2,1,1,0,1,0,2,2,0,0,0,1,0
2009,TR424,Bolu,124687,,,,,86.6,,,,,,,,,,13,1,9,1,,,1.28,63,46,81,3,45,31,2.59,6,1,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0
2010,TR424,Bolu,,,198972,,,,86.7,,,,,,,,,,,,,65.4,34.6,1.37,94,46,69,3,36,38,5.16,12,2,0,4,2,0,1,2,1,2,0,0,0,0,0,1,0,1
2011,TR424,Bolu,,200401,,89.9,,,,2,,1,,0,,,,,,,,,,1.33,66,54,94,6,39,29,2.92,4,4,0,1,0,1,0,2,0,0,0,0,1,0,1,1,0,1
2012,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.56,105,69,107,7,37,30,3.23,7,2,0,0,3,0,1,1,0,2,0,0,1,0,1,0,0,0
2013,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.59,95,58,103,17,50,35,4.61,9,4,0,2,0,2,3,0,1,1,0,1,0,0,0,1,0,2
2014,TR424,Bolu,138369,,,,,90.7,,,,,,,,,,12,1,7,4,,,1.41,73,65,86,10,51,44,4.93,14,0,1,3,3,3,2,0,0,2,0,0,0,0,0,0,0,0
2015,TR424,Bolu,,212854,,88.3,89.3,,,2,2,1,1,0,0,0,0,,,,,,,1.27,75,60,88,6,38,24,4.51,11,2,0,1,2,2,2,1,3,0,0,0,0,0,1,0,1,0
2016,TR424,Bolu,,,,,,,,,,,,,,,,,,,,,,1.26,89,42,104,4,44,34,3.72,10,1,0,2,2,1,1,1,0,3,0,0,1,0,0,0,0,0
2017,TR424,Bolu,,,221237,,,,89.2,,,,,,,,,,,,,62.3,37.7,1.27,78,51,115,5,45,31,2.65,7,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2018,TR424,Bolu,,222455,,89.8,,,,2,,1,,0,,0,,,,,,,,1.65,98,79,124,6,59,43,3.58,11,0,0,3,3,2,0,2,1,0,0,0,0,0,0,0,0,0
2019,TR424,Bolu,154365,,,,,86.2,,,,,,,,,,12,2,5,3,,,1.69,119,101,142,4,45,30,4.14,11,2,0,3,4,0,1,0,0,3,0,1,0,0,0,0,1,0
2000,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
2001,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,2.2,69,44,72,33,36,14,4.75,7,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0
2002,TR425,Yalova,,124556,,75.6,,,,1,,1,,,,,,,,,,,,1.79,48,35,58,22,38,22,2.62,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
2003,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,1.77,50,54,62,16,19,20,4.44,3,4,0,1,1,0,0,1,0,0,0,1,2,1,0,0,0,0
2004,TR425,Yalova,113956,,,,,71.7,,,,,,,,,,15,0,11,2,,,1.41,56,32,63,3,15,25,4.92,7,1,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0
2005,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,2.39,71,59,123,7,41,21,2.98,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2006,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,1.87,64,45,63,8,40,25,2.88,5,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0
2007,TR425,Yalova,,125354,126460,83.7,,,61.4,1,,1,,0,,,,,,,,63.3,36.7,1.8,69,51,85,7,49,21,2.79,5,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2008,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,1.71,76,46,94,2,32,20,2.64,5,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
2009,TR425,Yalova,120137,,,,,84.2,,,,,,,,,,15,2,8,2,,,1.93,84,53,94,7,51,32,6,9,3,0,3,3,1,0,1,0,1,0,1,1,0,0,0,1,0
2010,TR425,Yalova,,,148306,,,,78.2,,,,,,,,,,,,,51.2,48.8,1.88,66,68,102,10,38,27,3.94,6,2,0,0,0,2,1,2,1,0,1,0,0,0,0,1,0,0
2011,TR425,Yalova,,149841,,85.4,,,,1,,1,,0,,,,,,,,,,2.02,91,51,125,10,48,28,3.41,7,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0
2012,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,1.84,70,61,96,5,46,29,5.74,8,4,0,0,1,1,3,2,1,0,0,1,1,0,1,1,0,0
2013,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,1.65,69,52,101,6,48,22,2.32,3,2,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0
2014,TR425,Yalova,139490,,,,,84.9,,,,,,,,,,14,0,9,5,,,1.67,72,50,125,3,36,26,1.34,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,TR425,Yalova,,166060,,84.4,84.5,,,1,1,1,1,0,0,0,0,,,,,,,1.89,77,79,137,3,39,25,2.18,3,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2016,TR425,Yalova,,,,,,,,,,,,,,,,,,,,,,1.55,78,49,110,5,36,22,2.11,4,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0
2017,TR425,Yalova,,,172094,,,,85.4,,,,,,,,,,,,,49.7,50.3,1.66,97,47,104,1,39,33,2.84,6,1,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0
2018,TR425,Yalova,,178178,,87.1,,,,2,,1,,0,,0,,,,,,,,1.99,99,74,141,11,55,38,3.51,7,2,0,0,4,2,0,1,0,0,0,0,0,0,0,1,1,0
2019,TR425,Yalova,160145,,,,,81.3,,,,,,,,,,14,3,5,4,,,2.1,107,92,179,5,40,46,6,15,1,0,3,4,1,3,2,2,0,0,0,1,0,0,0,0,0
2000,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,50,3,24,33,15,11,10,3,5,1,18,15,9,4,1,1,1
2001,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,2,1659,1188,1897,302,692,596,5.78,164,63,4,28,40,46,25,10,4,7,0,29,15,6,7,3,3,0
2002,TR510,Ankara,,2698870,,82.3,,,,17,,12,,,,,,,,,,,,1.99,1659,1244,1933,337,692,614,5.48,136,84,2,30,35,26,24,11,7,1,5,36,18,13,6,4,2,0
2003,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,1.81,1553,1114,1729,256,636,646,4.08,109,58,1,34,26,20,17,5,5,1,2,19,16,4,5,5,4,3
2004,TR510,Ankara,2584527,,,,,76.1,,,,,,,,,,66,6,45,8,,,1.76,1463,1039,1831,255,712,609,3.41,90,52,0,21,19,19,12,5,5,6,1,17,12,7,5,2,3,2
2005,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,1.94,1679,1186,2101,291,751,637,3.83,113,50,0,20,25,19,25,7,5,5,0,16,17,8,3,2,1,2
2006,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,1.87,1704,1220,1999,281,758,665,3.83,98,68,2,19,27,17,18,8,1,5,2,19,17,14,4,4,2,4
2007,TR510,Ankara,,2920818,2928823,85.6,,,63.8,16,,9,,4,,,,,,,,65.6,34.4,1.85,1762,1183,2026,291,753,686,4.09,122,59,1,21,25,32,18,8,4,8,1,14,13,8,14,2,2,2
2008,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,1.97,1833,1278,2314,316,854,697,3.84,131,42,0,18,22,26,31,13,12,8,1,8,9,10,6,4,1,2
2009,TR510,Ankara,3132917,,,,,85.1,,,,,,,,,,45,7,26,11,,,2.17,2007,1512,2767,306,851,741,3.67,124,45,1,17,29,29,28,7,7,5,1,4,16,9,7,4,2,2
2010,TR510,Ankara,,,3341633,,,,79.9,,,,,,,,,,,,,54.1,45.9,2.18,2057,1531,2855,278,888,767,3.91,137,47,1,33,21,35,25,8,10,4,3,13,15,4,6,3,0,3
2011,TR510,Ankara,,3409758,,88.9,,,,17,,10,,4,,,,,,,,,,2.17,1989,1590,2860,307,932,780,3.56,124,48,3,23,22,24,21,15,9,4,1,12,12,8,5,5,3,1
2012,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,2.25,2202,1636,2934,352,1034,788,4.46,168,52,2,37,40,32,25,15,9,4,0,9,10,11,8,2,7,4
2013,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,2.24,2283,1617,2932,372,1084,859,3.92,153,43,2,29,35,28,23,19,6,7,1,7,9,7,7,5,0,5
2014,TR510,Ankara,3609048,,,,,90.9,,,,,,,,,,25,2,20,2,,,2.23,2413,1619,3066,416,1086,870,4.3,167,52,4,31,40,33,26,18,6,7,5,14,8,13,2,5,3,2
2015,TR510,Ankara,,3703253,,88.2,89.6,,,15,16,11,11,5,4,1,1,,,,,,,2.1,2320,1482,3006,326,1088,858,4.36,176,51,1,26,40,33,25,28,14,9,0,8,16,9,4,3,4,7
2016,TR510,Ankara,,,,,,,,,,,,,,,,,,,,,,1.99,2098,1495,2980,329,1055,808,3.26,143,30,2,29,31,36,22,17,4,2,0,8,5,6,6,3,2,0
2017,TR510,Ankara,,,3853894,,,,90,,,,,,,,,,,,,48.9,51.1,1.99,2152,1541,3027,268,1087,783,3.21,133,40,1,22,36,24,19,16,10,5,0,9,11,8,4,4,1,3
2018,TR510,Ankara,,3904585,,89.4,,,,15,,10,,5,,1,,,,,,,,2.16,2328,1782,3400,273,1075,890,3.65,147,53,1,22,39,27,29,18,7,4,2,9,11,11,6,8,3,3
2019,TR510,Ankara,3922163,,,,,85.6,,,,,,,,,,25,3,19,3,,,2.4,2723,2093,3923,301,1112,941,4.09,185,43,4,37,45,31,27,20,15,6,0,11,7,11,5,5,2,2
2000,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,2,6,5,2,6,4,0,2,0,4,2,1,0,2,0,0
2001,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.64,672,356,480,213,337,261,2.93,37,17,0,12,4,6,5,6,1,3,1,9,4,0,1,2,0,0
2002,TR521,Konya,,1103009,,83.4,,,,14,,2,,,,,,,,,,,,1.5,687,318,436,166,275,251,2.2,31,10,0,6,8,7,4,3,2,1,1,4,4,0,1,0,0,0
2003,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.52,616,324,447,154,347,304,4.47,56,28,0,14,6,11,5,10,7,3,1,10,4,4,3,2,2,2
2004,TR521,Konya,998455,,,,,82.1,,,,,,,,,,205,18,145,16,,,1.53,600,330,488,164,300,308,3.85,49,24,3,15,7,9,7,3,2,2,0,7,5,5,4,0,1,0
2005,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.44,629,322,458,135,281,268,3.19,35,26,2,9,7,2,7,5,2,1,1,11,2,4,3,3,1,0
2006,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.47,661,319,467,131,321,298,3.62,41,29,2,8,5,10,7,4,2,3,1,15,4,4,1,1,3,0
2007,TR521,Konya,,1184757,1185677,87,,,73.7,13,,1,,2,,,,,,,,84.3,15.7,1.35,579,299,445,90,278,251,4.36,58,27,0,12,13,13,11,5,2,2,1,9,5,2,1,3,4,1
2008,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.38,601,353,484,102,305,276,3.92,47,30,2,9,9,7,9,2,6,1,0,6,12,4,4,2,0,1
2009,TR521,Konya,1170533,,,,,85.7,,,,,,,,,,199,48,115,18,,,1.61,706,419,543,117,327,321,3.73,55,19,3,7,13,15,7,9,0,1,3,10,1,1,2,1,1,0
2010,TR521,Konya,,,1327534,,,,84.2,,,,,,,,,,,,,78.1,21.9,1.66,735,463,646,106,305,299,3,43,17,3,5,8,8,6,6,1,4,1,4,7,1,1,3,0,0
2011,TR521,Konya,,1346215,,88,,,,11,,1,,2,,,,,,,,,,1.72,700,484,729,178,329,271,2.86,36,22,1,10,3,5,8,6,1,2,2,7,5,3,3,1,0,1
2012,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.81,808,512,742,149,341,315,3.91,58,22,1,13,17,6,9,7,1,4,3,7,3,2,2,2,2,1
2013,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.74,765,442,732,178,393,307,3.92,52,29,0,14,11,5,10,6,5,1,1,14,6,2,1,1,2,2
2014,TR521,Konya,1402056,,,,,90.1,,,,,,,,,,31,3,26,1,,,1.67,805,418,703,189,412,291,3.68,61,16,2,17,11,10,9,5,3,3,1,6,2,2,0,3,0,1
2015,TR521,Konya,,1430306,,87.1,88.9,,,11,12,1,1,2,1,0,0,,,,,,,1.67,687,458,741,177,424,313,4.86,67,36,0,17,13,12,11,9,3,2,3,16,6,1,7,2,0,1
2016,TR521,Konya,,,,,,,,,,,,,,,,,,,,,,1.61,695,471,774,210,401,291,4.29,62,30,1,14,14,6,13,8,4,2,5,7,3,5,5,0,2,3
2017,TR521,Konya,,,1473345,,,,88.1,,,,,,,,,,,,,72.9,27.1,1.62,717,481,745,208,407,299,4.01,72,15,0,11,17,18,7,11,5,3,3,4,3,2,1,1,0,1
2018,TR521,Konya,,1503411,,89.3,,,,10,,2,,2,,0,,,,,,,,1.71,718,506,906,216,365,312,4.42,72,25,1,14,17,19,11,6,1,3,2,1,2,5,4,4,5,2
2019,TR521,Konya,1521399,,,,,84.4,,,,,,,,,,31,4,24,1,,,1.74,753,580,959,198,404,254,4.64,79,24,1,16,19,17,11,10,2,3,1,9,6,0,1,3,2,2
2000,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0
2001,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.89,98,47,67,18,48,37,2.79,5,1,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0
2002,TR522,Karaman,,131836,,87.7,,,,2,,1,,,,,,,,,,,,1.67,76,48,66,22,43,34,2.3,2,3,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0
2003,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.56,79,49,48,16,22,33,3.66,5,3,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,0
2004,TR522,Karaman,98502,,,,,86.3,,,,,,,,,,16,3,7,4,,,2.07,112,43,72,21,57,44,1.36,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2005,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.53,70,45,67,15,51,32,3.61,5,3,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0
2006,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.42,69,31,44,19,42,34,6.26,7,7,0,4,2,0,0,0,0,1,0,5,0,0,0,1,0,1
2007,TR522,Karaman,,142401,142443,89.7,,,78,2,,0,,1,,,,,,,,73.4,26.6,1.32,83,39,52,8,29,26,6.22,12,2,0,2,4,3,0,3,0,0,1,0,0,1,0,0,0,0
2008,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.35,60,34,51,16,35,30,3.95,7,2,0,2,1,2,1,1,0,0,1,1,0,0,0,0,0,0
2009,TR522,Karaman,117802,,,,,88,,,,,,,,,,16,4,10,1,,,1.85,92,56,72,12,51,36,6.06,11,3,0,3,3,1,1,2,0,1,1,0,2,0,0,0,0,0
2010,TR522,Karaman,,,158392,,,,86.4,,,,,,,,,,,,,65.9,34.1,2.06,98,69,91,24,49,49,8.18,14,5,2,3,1,2,0,1,0,4,0,3,0,0,0,1,0,1
2011,TR522,Karaman,,159528,,90,,,,2,,0,,0,,,,,,,,,,1.87,97,58,67,20,52,39,4.71,7,4,0,2,2,1,1,0,0,1,0,0,1,0,0,1,0,2
2012,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.79,81,51,75,19,44,47,2.56,5,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.76,90,52,73,23,47,48,9.3,17,5,0,6,6,3,1,0,0,1,0,1,0,1,2,0,1,0
2014,TR522,Karaman,125320,,,,,90.6,,,,,,,,,,11,1,6,3,,,2.02,116,54,87,20,58,36,4.6,9,2,1,2,2,2,1,0,0,1,0,1,0,1,0,0,0,0
2015,TR522,Karaman,,167295,,88.3,89,,,2,2,0,0,0,0,0,0,,,,,,,1.72,107,64,86,14,31,31,7.05,17,0,0,1,3,6,2,2,0,3,0,0,0,0,0,0,0,0
2016,TR522,Karaman,,,,,,,,,,,,,,,,,,,,,,1.6,81,56,85,17,51,36,4.51,8,3,0,2,1,2,1,1,0,1,1,0,1,0,1,0,0,0
2017,TR522,Karaman,,,171003,,,,88.7,,,,,,,,,,,,,63.8,36.2,1.8,103,55,103,8,56,44,5.28,11,2,0,3,2,1,3,1,0,1,0,2,0,0,0,0,0,0
2018,TR522,Karaman,,173500,,90.4,,,,2,,1,,0,,0,,,,,,,,1.7,93,57,86,6,49,42,6.02,10,5,0,5,2,0,2,1,0,0,1,1,1,0,1,1,0,0
2019,TR522,Karaman,137532,,,,,87,,,,,,,,,,11,4,4,1,,,2.44,122,86,143,16,54,58,6.33,16,0,0,3,2,3,5,2,1,0,0,0,0,0,0,0,0,0
2000,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,18,1,13,8,4,2,4,3,0,0,5,3,4,1,1,1,3
2001,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,2,625,404,600,145,282,230,3.57,39,13,0,9,11,5,8,2,3,1,0,3,6,2,1,1,0,0
2002,TR611,Antalya,,1019624,,77,,,,5,,8,,,,,,,,,,,,2.13,643,447,677,177,369,259,3.46,33,19,0,6,13,6,3,4,0,1,1,5,4,3,2,1,1,2
2003,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,1.96,628,406,607,149,369,292,3.28,36,15,0,9,8,10,5,2,1,1,1,5,2,2,2,1,2,0
2004,TR611,Antalya,904976,,,,,71.4,,,,,,,,,,102,9,45,20,,,1.83,610,376,605,143,337,264,4.61,41,33,0,19,11,6,5,0,0,0,0,13,9,2,2,3,1,3
2005,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,1.94,696,451,671,143,323,295,3.38,35,21,0,12,6,6,4,3,1,0,0,11,6,1,1,0,0,1
2006,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,2.06,818,476,709,128,352,309,5.79,57,42,0,15,16,8,6,7,2,1,0,23,7,3,5,1,0,1
2007,TR611,Antalya,,1088979,1095067,84.4,,,61.5,5,,5,,3,,,,,,,,57.6,42.4,2.09,824,484,793,109,437,294,6.07,62,45,2,10,11,13,8,7,4,0,2,21,9,2,2,2,0,2
2008,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,2.14,892,562,824,112,418,318,4.33,55,24,0,15,12,9,4,5,4,4,2,9,4,5,1,2,0,0
2009,TR611,Antalya,1085814,,,,,85.1,,,,,,,,,,93,21,35,28,,,2.58,1055,707,1113,180,493,379,5.61,83,23,3,8,16,23,14,8,7,3,3,6,6,4,1,2,0,1
2010,TR611,Antalya,,,1354787,,,,77.3,,,,,,,,,,,,,43.3,56.7,2.71,1137,790,1228,165,519,378,5.39,79,26,0,8,21,14,15,13,3,3,2,11,4,2,1,4,1,1
2011,TR611,Antalya,,1389196,,86.4,,,,6,,5,,3,,,,,,,,,,2.8,1171,786,1318,183,568,422,5.02,68,33,2,15,16,16,14,1,2,2,1,9,5,10,2,2,1,3
2012,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,2.59,1176,704,1193,172,547,400,4.93,78,24,1,10,20,14,12,9,3,5,0,8,6,3,2,1,3,0
2013,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,2.69,1243,782,1234,183,683,465,4.7,69,31,1,11,17,10,14,8,4,4,1,7,5,7,2,4,4,1
2014,TR611,Antalya,1514939,,,,,89.8,,,,,,,,,,19,4,10,5,,,2.84,1316,793,1525,185,683,492,5.11,74,38,3,13,21,10,10,10,2,4,1,7,12,6,4,3,4,1
2015,TR611,Antalya,,1568153,,85.1,86.5,,,5,7,5,5,3,2,1,0,,,,,,,2.75,1347,855,1466,232,655,510,4.66,79,26,0,14,11,15,21,5,8,5,1,4,4,7,6,0,0,4
2016,TR611,Antalya,,,,,,,,,,,,,,,,,,,,,,2.46,1204,791,1343,191,631,437,3.81,65,23,0,8,23,14,7,9,4,0,1,5,6,2,3,2,0,4
2017,TR611,Antalya,,,1636742,,,,87.3,,,,,,,,,,,,,40.9,59.1,2.51,1267,797,1451,180,650,457,4.65,89,20,1,13,21,22,16,10,2,4,0,5,1,4,3,3,2,2
2018,TR611,Antalya,,1681336,,87.4,,,,6,,5,,1,,1,,,,,,,,2.72,1435,989,1543,151,652,494,4.47,83,24,0,10,15,15,18,19,4,2,0,7,8,4,1,3,1,0
2019,TR611,Antalya,1707819,,,,,85.2,,,,,,,,,,19,2,6,8,,,2.9,1550,1104,1823,187,673,495,4.25,88,17,0,14,22,11,21,13,3,4,1,4,4,3,2,1,0,2
2000,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,0,5,4,3,4,0,1,1,0,0,1,2,0,0,0,1
2001,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.31,130,78,113,26,49,43,7.16,21,9,1,7,4,1,3,3,2,0,0,4,3,0,0,1,0,1
2002,TR612,Isparta,,261973,,85.9,,,,4,,1,,,,,,,,,,,,1.38,132,70,115,41,61,47,5.01,15,6,1,5,2,2,3,0,0,2,0,3,1,1,0,1,0,0
2003,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.38,110,66,116,31,75,55,7.15,13,17,0,4,2,2,2,1,1,1,1,12,1,0,1,1,1,0
