year,province,educ_hs,educ_col
2014,Yalova,45510,25110
2015,Yalova,46101,28008
2016,Yalova,47977,29942
2017,Yalova,50069,31652
2018,Yalova,53317,33902
2019,Yalova,54896,35339
2000,Yozgat,81025,16284
2008,Yozgat,54704,12413
2009,Yozgat,56573,16033
2010,Yozgat,60448,16308
2011,Yozgat,62468,20077
2012,Yozgat,63528,21854
2013,Yozgat,60901,25316
2014,Yozgat,61119,27608
2015,Yozgat,60712,29550
2016,Yozgat,65771,32852
2017,Yozgat,65392,33412
2018,Yozgat,72009,34968
2019,Yozgat,73850,36582
2000,Zonguldak,69609,2251
2008,Zonguldak,90536,26685
2009,Zonguldak,93793,32321
2010,Zonguldak,101906,33361
2011,Zonguldak,102990,39104
2012,Zonguldak,102716,40913
2013,Zonguldak,101568,45896
2014,Zonguldak,104406,49752
2015,Zonguldak,105691,54304
2016,Zonguldak,111427,57723
2017,Zonguldak,112674,58941
2018,Zonguldak,118902,61472
2019,Zonguldak,121267,63295
