year,province,region,popi,gdpk,educ_hsch,educ_coll,prisons_total,prisons_closed,prisons_open,prisons_semiopen,prisons_juvenile,cr_educ_total,cr_educ_illiterate,cr_educ_litnoschool,cr_educ_primaryfour,cr_educ_primaryeight,cr_educ_juniorhs,cr_educ_hs,cr_educ_uni,cr_educ_unknown,cd_type_total,cr_type_total,cd_type_homicide,cr_type_homicide,cd_type_assault,cr_type_assault,cd_type_sexual,cr_type_sexual,cd_type_kidnapping,cr_type_kidnapping,cd_type_defamation,cr_type_defamation,cd_type_theft,cr_type_theft,cd_type_robbery,cr_type_robbery,cd_type_swindling,cr_type_swindling,cd_type_drugspc,cr_type_drugspc,cd_type_drugsuse,cr_type_drugsuse,cd_type_forgery,cr_type_forgery,cd_type_badtreatment,cr_type_badtreatment,cd_type_embezzlement,cr_type_embezzlement,cd_type_bribery,cr_type_bribery,cd_type_smuggling,cr_type_smuggling,cd_type_traffic,cr_type_traffic,cd_type_forestry,cr_type_forestry,cd_type_arms,cr_type_arms,cd_type_bankruptcy,cr_type_bankruptcy,cd_type_military,cr_type_military,cd_type_cheque,cr_type_cheque,cd_type_threat,cr_type_threat,cd_type_propertydamage,cr_type_propertydamage,cd_type_performanceprevention,cr_type_performanceprevention,cd_type_familyprotection,cr_type_familyprotection,cd_type_other,cr_type_other,cd_type_unknown,cr_type_unknown,loc_mayors,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75,vs_akp,vs_chp,vs_mhp,vs_hdp,ms_akp,ms_chp,ms_mhp
2017,adana,akdeniz,1647569,7738,390352,236103,10,7,3,0,0,8788,91,716,1665,3281,938,1755,285,57,7537,8788,245,371,850,849,108,183,79,83,108,115,1245,1570,301,436,190,197,872,1262,424,453,260,284,9,10,4,4,5,3,286,342,125,126,22,23,272,250,267,252,32,28,0,0,304,286,72,62,88,105,173,178,1196,1316,0,0,,1.72,798,578,963,117,400,261,4.57,73,28,2,12,15,14,16,9,3,2,0,7,8,5,2,3,1,2,43,27,8,12,.61538464,.35897437,.025641026
2018,adana,akdeniz,1649850,6715,410691,245469,12,8,4,0,0,10359,93,632,1731,3728,1471,2179,420,105,8008,10359,204,451,1016,1032,101,176,106,112,158,155,1196,1793,315,564,208,250,743,1368,435,491,304,329,10,10,6,5,5,6,443,568,241,243,14,13,261,278,214,209,48,45,0,0,343,393,74,77,101,90,87,87,1364,1611,11,3,,2,899,675,1206,100,433,307,4.6,67,35,0,16,18,9,9,7,4,4,1,7,10,6,4,3,2,2,5,4,2,2,.61538464,.35897437,.025641026
2019,adana,akdeniz,1667391,6484,424630,256117,10,7,3,0,0,10189,103,544,1504,1951,3207,2272,516,92,10438,10189,278,418,1208,1071,93,153,76,78,161,137,1779,1619,385,480,329,270,905,1498,446,305,305,265,14,9,3,3,4,6,641,487,272,265,30,26,320,269,270,263,79,71,0,0,601,518,109,87,120,108,145,139,1863,1643,2,1,15,2.22,1067,830,1385,117,413,305,4.04,61,29,1,7,10,14,13,14,1,1,2,10,8,2,5,1,0,1,,,,,.2,.26666668,.46666667
2000,adiyaman,guneydogu,623811,1886,59897,14435,6,5,1,0,0,313,9,20,242,0,26,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,1,2,3,1,0,0,0,0,3,4,0,2,0,1,0,0,,,,,,,
2001,adiyaman,guneydogu,594841.25,1272,60268.25,14374.625,6,5,1,0,0,624,21,45,472,0,64,20,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.89,135,71,92,13,40,44,4.91,12,16,1,6,1,1,1,0,2,0,0,9,2,3,0,0,1,1,,,,,,,
2002,adiyaman,guneydogu,565871.5,1465,60639.5,14314.25,5,4,1,0,0,541,43,52,339,0,39,64,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.96,151,86,101,18,40,39,4.72,17,10,2,4,6,2,0,0,3,0,0,4,2,1,2,1,0,0,4,1,7,11,,,
2003,adiyaman,guneydogu,536901.75,1972,61010.75,14253.875,4,3,1,0,0,400,24,22,272,0,33,42,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.85,110,66,96,21,28,43,3.14,9,9,0,7,0,0,1,1,0,0,0,4,2,1,0,1,1,0,39,22,7,11,,,
2004,adiyaman,guneydogu,507932,2612,61382,14193.5,4,3,1,0,0,332,11,17,227,1,29,42,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,.79,90,56,105,20,36,35,3.3,15,4,1,5,0,1,0,0,2,1,1,2,1,0,0,0,0,0,39,22,7,11,.42857143,.2857143,0
2005,adiyaman,guneydogu,478962.25,3218,61753.25,14133.125,4,3,1,0,0,149,7,14,88,0,18,18,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.76,78,62,96,25,34,34,2.6,6,9,0,5,0,1,0,0,0,0,0,3,1,1,1,0,0,1,39,22,7,11,.66666669,.30769232,0
2006,adiyaman,guneydogu,449992.5,3474,62124.5,14072.75,4,3,1,0,0,193,9,6,132,0,23,22,1,0,203,193,3,4,27,22,2,2,0,0,0,5,23,15,1,0,20,22,15,9,2,0,27,29,5,3,0,0,1,0,4,5,0,0,4,5,15,15,26,30,8,3,0,0,0,0,0,0,0,0,0,0,20,24,0,0,,.67,89,48,55,13,33,39,3.1,11,7,0,3,0,2,2,1,2,0,0,4,1,0,1,0,0,0,39,22,7,11,.66666669,.30769232,0
2007,adiyaman,guneydogu,421022.75,4231,62495.75,14012.375,4,3,1,0,0,300,15,8,180,31,31,28,7,0,304,300,6,2,42,42,3,1,0,0,2,2,18,24,0,1,23,23,12,12,0,1,71,63,8,6,0,0,0,0,1,2,4,6,9,7,26,18,54,52,1,4,0,0,0,0,0,0,0,0,0,0,24,34,0,0,,.72,101,53,63,22,39,35,2.75,7,9,1,1,2,0,2,0,0,1,0,6,2,0,0,0,0,0,4,1,0,11,.66666669,.30769232,0
2008,adiyaman,guneydogu,392053,4920,62867,13952,4,3,1,0,0,318,8,9,203,35,21,37,5,0,318,318,10,10,26,30,1,1,0,0,8,5,26,21,1,5,43,48,6,5,0,0,95,88,0,1,0,0,0,0,4,4,5,6,2,2,18,22,19,18,9,5,0,0,0,0,0,0,0,0,0,0,45,47,0,0,,.71,97,54,74,13,40,32,1.54,5,4,0,2,1,0,0,0,2,0,0,3,0,0,0,0,0,0,46,29,7,11,.66666669,.30769232,0
2009,adiyaman,guneydogu,397427,4003,65335,18705,4,3,1,0,0,169,13,11,62,29,14,18,9,13,164,169,9,4,20,19,1,0,0,0,1,0,18,21,0,0,25,21,3,4,1,1,31,36,0,0,0,0,0,0,0,2,2,0,2,2,8,10,14,13,6,4,0,0,0,0,0,0,0,0,0,0,22,32,1,0,28,.86,99,50,110,18,52,51,3.75,11,11,0,2,5,2,0,1,0,1,1,7,1,0,0,1,1,0,46,29,7,11,.5,.2857143,.035714287
2010,adiyaman,guneydogu,402254,4870,71552,19643,4,3,1,0,0,220,6,22,51,54,21,47,7,12,172,220,8,23,21,22,0,2,0,1,0,1,10,22,0,5,34,30,7,9,1,1,9,8,0,0,0,0,0,0,4,7,2,2,0,1,8,18,25,26,4,4,0,0,0,0,0,0,0,0,0,0,39,38,0,0,,.74,83,39,71,21,45,53,3.22,13,6,3,1,5,1,0,1,2,0,1,3,1,1,0,0,0,0,46,29,7,11,.64102566,.35897437,0
2011,adiyaman,guneydogu,407928,5163,76331,25339,4,3,1,0,0,264,12,23,67,80,17,47,9,9,183,264,5,26,14,29,0,0,0,2,1,2,23,30,1,5,3,9,12,12,3,2,6,4,0,0,0,0,0,0,10,10,2,2,3,2,12,23,37,37,1,2,24,16,0,0,0,0,0,0,0,0,26,51,0,0,,.71,87,41,74,19,45,47,4.05,18,6,2,4,3,3,3,0,1,2,0,0,3,0,2,1,0,0,4,1,0,11,.64102566,.35897437,0
2012,adiyaman,guneydogu,411900,5296,77625,29650,4,3,1,0,0,406,7,35,91,145,22,79,11,16,397,406,25,21,66,61,2,8,2,2,4,3,54,56,10,10,10,10,47,43,4,4,16,26,0,0,1,1,0,0,8,5,12,12,3,3,20,17,39,37,3,4,2,0,0,0,0,0,0,0,0,0,69,83,0,0,,.79,87,57,59,32,73,44,2.35,9,5,1,1,2,2,1,1,0,1,0,2,2,0,0,1,0,0,39,28,10,11,.64102566,.35897437,0
2013,adiyaman,guneydogu,415547,6041,77191,36082,4,3,1,0,0,657,13,49,155,212,67,126,18,17,634,657,23,26,146,154,8,7,3,4,8,8,75,83,6,5,19,16,33,33,2,2,62,58,0,0,0,0,1,1,15,16,6,7,10,10,45,47,30,34,0,0,0,0,19,21,23,23,17,12,9,7,74,83,0,0,,.97,117,65,85,34,70,55,3.69,16,6,1,4,4,1,1,1,1,2,0,3,0,2,1,0,0,0,39,28,10,11,.64102566,.35897437,0
2014,adiyaman,guneydogu,417728,6196,78329,41101,4,3,1,0,0,574,10,44,112,204,64,95,25,20,456,574,21,38,73,67,4,10,4,7,10,10,74,116,4,9,12,16,19,48,7,11,33,42,0,0,0,1,0,0,28,26,5,5,2,2,24,23,18,14,0,0,0,0,18,21,7,6,10,10,22,24,61,68,0,0,23,.82,115,63,58,33,61,57,5.69,24,10,0,12,7,2,2,0,0,1,1,7,0,1,0,1,0,0,39,28,10,11,.47826087,.26086956,.043478262
2015,adiyaman,guneydogu,422941,5512,80891,46536,4,3,1,0,0,533,7,31,103,152,68,133,33,6,447,533,24,22,64,67,4,11,7,7,5,7,67,97,6,17,13,15,20,45,14,15,28,30,0,0,1,1,0,0,22,22,4,5,3,3,20,16,25,26,0,0,0,0,19,23,3,3,4,5,32,31,62,65,0,0,,.98,126,64,81,46,72,57,3.83,16,7,0,3,5,4,3,1,0,0,1,2,1,1,1,0,1,0,4,0,0,1,.61538464,.35897437,.025641026
2016,adiyaman,guneydogu,430073,5391,87766,52147,4,3,1,0,0,758,16,51,171,236,101,151,31,1,746,758,33,34,94,77,7,25,7,6,9,10,154,144,18,22,42,39,45,86,21,16,59,48,0,3,0,1,0,0,17,15,9,9,0,1,30,23,34,36,0,1,0,0,40,41,7,7,4,5,19,21,97,88,0,0,,.8,100,57,64,32,71,53,2.14,8,5,0,0,2,1,1,1,1,2,0,2,1,2,0,0,0,0,43,27,8,12,.61538464,.35897437,.025641026
2017,adiyaman,guneydogu,433278,5076,86352,54102,4,3,1,0,0,884,9,41,138,364,89,200,39,4,748,884,28,41,95,98,7,13,11,11,17,15,157,174,20,40,37,34,58,123,35,32,24,29,1,1,2,1,0,0,14,20,8,9,3,3,24,24,45,48,3,2,0,0,31,25,8,8,8,5,8,8,104,120,0,0,,.78,95,60,74,45,57,48,3.75,14,9,1,3,2,2,2,2,0,2,0,2,2,0,2,2,0,1,43,27,8,12,.61538464,.35897437,.025641026
2018,adiyaman,guneydogu,440671,4338,94520,57219,4,3,1,0,0,1104,9,48,138,422,150,228,103,6,855,1104,27,45,144,149,10,19,7,12,8,8,136,193,24,33,32,36,81,147,42,72,24,28,0,0,0,0,1,1,22,23,30,28,6,6,23,26,32,31,3,3,0,0,33,40,7,8,12,12,15,16,133,168,3,0,,.87,119,74,95,34,66,42,2.74,12,5,0,1,4,2,2,1,1,1,0,1,0,2,1,0,1,0,4,1,0,0,.61538464,.35897437,.025641026
